tempo_minimi,minimi,tempo_massimi,massimi
306.2,0.5089380098815465,303.58,0.27017696820872217
307.2,0.48380526865282814,304.58,0.2827433388230814
308.26,0.4963716392671873,305.68,0.21991148575128555
309.26,0.43353978619539146,309.8,0.1759291886010284
310.32,0.47123889803846897,310.86,0.18849555921538758
311.38,0.4084070449666731,312.94,0.1445132620651305
313.44,0.4146902302738527,314.0,0.13823007675795088
315.54,0.4084070449666731,315.06,0.08168140899333462
317.66,0.43353978619539146,316.04,0.09424777960769379
318.68,0.35814156250923646,318.12,0.07539822368615504
319.68,0.39584067435231396,319.2,0.06911503837897544
320.74,0.3518583772020568,320.22,0.05026548245743669
321.78,0.35814156250923646,321.22,0.07539822368615504
323.9,0.34557519189487723,323.38,0.0439822971502571
324.9,0.33929200658769765,326.36,0.06283185307179587
325.96,0.37699111843077515,327.5,0.025132741228718346
327.06,0.3518583772020568,328.54,0.025132741228718346
327.98,0.29530970943744056,330.62,0.0
329.08,0.2827433388230814,334.74,0.06911503837897544
330.14,0.30159289474462014,335.86,0.01884955592153876
332.12,0.29530970943744056,336.8,0.05026548245743669
333.18,0.24504422698000386,338.94,0.05026548245743669
334.22,0.2827433388230814,340.1,0.025132741228718346
337.32,0.27646015351590175,340.9,0.0879645943005142
338.46,0.2324778563656447,344.02,0.0879645943005142
339.44,0.2827433388230814,345.2,0.06283185307179587
340.46,0.36442474781641604,347.32,0.13194689145077132
342.48,0.27017696820872217,348.3,0.0439822971502571
345.74,0.20106192982974677,351.34,0.08168140899333462
350.9,0.22619467105846508,354.38,0.05026548245743669
352.08,0.21991148575128555,355.54,0.05654866776461627
353.0,0.20106192982974677,356.58,0.11938052083641214
354.14,0.27646015351590175,357.72,0.05654866776461627
356.14,0.22619467105846508,358.7,0.11938052083641214
357.04,0.20734511513692636,359.78,0.08168140899333462
359.26,0.20734511513692636,360.48,0.07539822368615504
360.3,0.21362830044410594,361.94,0.13823007675795088
361.2,0.20734511513692636,362.74,0.09424777960769379
362.08,0.1759291886010284,364.92,0.08168140899333462
363.44,0.20106192982974677,365.86,0.1445132620651305
366.5,0.18849555921538758,367.12,0.09424777960769379
368.42,0.20106192982974677,371.12,0.15079644737231007
370.76,0.20106192982974677,372.22,0.08168140899333462
372.8,0.20106192982974677,375.36,0.13823007675795088
373.86,0.19477874452256716,377.24,0.10681415022205297
375.8,0.20106192982974677,378.56,0.12566370614359174
378.8,0.20106192982974677,379.44,0.0879645943005142
383.3,0.19477874452256716,385.64,0.12566370614359174
387.46,0.22619467105846508,386.76,0.0439822971502571
390.32,0.18849555921538758,391.72,0.10681415022205297
392.64,0.18849555921538758,394.16,0.0879645943005142
394.64,0.20106192982974677,396.34,0.12566370614359174
395.24,0.19477874452256716,411.38,0.05654866776461627
402.2,0.18221237390820802,413.7,0.0879645943005142
411.82,0.24504422698000386,415.9,0.07539822368615504
413.0,0.20734511513692636,417.12,0.07539822368615504
414.72,0.25761059759436306,418.1,0.031415926535897934
