tempo_minimi,minimi,tempo_massimi,massimi
305.06,0.7853981633974483,303.44,0.7037167544041136
306.06,0.7728317927830891,304.54,0.6848671984825749
307.12,0.7037167544041136,306.64,0.7225663103256524
308.18,0.7539822368615503,307.66,0.6408849013323178
309.2,0.6597344572538565,308.7,0.546637121724624
310.28,0.6283185307179586,310.78,0.47752208334564855
311.28,0.6283185307179586,311.84,0.5026548245743669
312.34,0.6471680866394973,312.82,0.4963716392671873
313.4,0.578053048260522,313.92,0.4398229715025711
316.5,0.48380526865282814,314.92,0.3895574890451343
317.5,0.5089380098815465,315.98,0.37699111843077515
319.62,0.4398229715025711,317.04,0.37699111843077515
320.66,0.4398229715025711,318.08,0.3267256359733385
321.72,0.4209734155810323,319.1,0.3267256359733385
323.8,0.37070793312359557,320.12,0.27646015351590175
324.84,0.40212385965949354,321.24,0.27646015351590175
325.84,0.45238934211693016,322.2,0.27017696820872217
327.96,0.33929200658769765,326.42,0.26389378290154264
329.0,0.3078760800517997,328.48,0.2324778563656447
330.06,0.3141592653589793,329.52,0.16336281798666924
331.08,0.30159289474462014,330.54,0.15079644737231007
332.06,0.29530970943744056,333.66,0.16964600329384882
333.12,0.25761059759436306,334.72,0.09424777960769379
335.22,0.24504422698000386,337.84,0.13823007675795088
336.3,0.24504422698000386,338.88,0.09424777960769379
337.28,0.25761059759436306,339.92,0.11938052083641214
338.32,0.25132741228718347,341.96,0.06911503837897544
339.4,0.27646015351590175,343.06,0.08168140899333462
341.48,0.23876104167282428,344.14,0.05026548245743669
342.5,0.21991148575128555,345.16,0.05654866776461627
345.66,0.16964600329384882,347.1,0.07539822368615504
347.76,0.16964600329384882,348.18,0.05026548245743669
349.8,0.15079644737231007,349.32,0.05654866776461627
351.9,0.16336281798666924,351.36,0.012566370614359173
353.0,0.15707963267948966,352.44,0.031415926535897934
356.08,0.22619467105846508,355.48,0.03769911184307752
357.18,0.13823007675795088,356.52,0.08168140899333462
358.16,0.22619467105846508,359.62,0.031415926535897934
360.1,0.16336281798666924,360.66,0.01884955592153876
361.14,0.1445132620651305,364.76,0.01884955592153876
362.28,0.13194689145077132,365.82,0.012566370614359173
365.38,0.15707963267948966,372.0,0.006283185307179587
366.46,0.10681415022205297,374.26,0.006283185307179587
367.46,0.16336281798666924,375.3,0.031415926535897934
369.6,0.10053096491487339,376.26,0.0
371.48,0.11309733552923254,378.32,0.012566370614359173
372.6,0.15707963267948966,379.3,0.025132741228718346
375.86,0.11309733552923254,382.6,0.03769911184307752
376.84,0.09424777960769379,385.86,0.006283185307179587
378.94,0.09424777960769379,390.66,0.012566370614359173
379.96,0.15079644737231007,392.92,0.012566370614359173
384.32,0.09424777960769379,397.96,0.006283185307179587
386.14,0.07539822368615504,400.18,0.012566370614359173
387.14,0.11938052083641214,403.82,0.006283185307179587
388.4,0.07539822368615504,404.96,0.031415926535897934
389.38,0.13194689145077132,407.2,0.01884955592153876
390.22,0.11309733552923254,409.64,0.006283185307179587
396.5,0.11309733552923254,416.7,0.01884955592153876
397.24,0.10053096491487339,419.28,0.01884955592153876
