Test Chi Quadro Gaussiana_____________________________________________
   x       y       y*      sy      Chi     
140139.00  9.79    9.13    0.29    5.11    
141140.00  9.64    9.19    0.29    2.41    
142141.00  9.56    9.25    0.29    1.15    
143142.00  9.47    9.31    0.29    0.34    
144143.00  10.08   9.36    0.29    6.25    
145144.00  9.76    9.42    0.29    1.35    
146145.00  9.09    9.48    0.29    1.82    
147146.00  9.44    9.54    0.29    0.11    
148147.00  9.54    9.60    0.29    0.04    
149148.00  9.79    9.66    0.29    0.21    
150149.00  9.85    9.71    0.29    0.23    
151150.00  9.60    9.77    0.29    0.35    
152151.00  10.43   9.83    0.29    4.21    
153152.00  9.56    9.89    0.29    1.35    
154153.00  9.93    9.95    0.29    0.01    
155154.00  8.94    10.01   0.29    13.78   
156155.00  9.84    10.07   0.29    0.66    
157156.00  9.15    10.14   0.29    11.56   
158157.00  9.45    10.20   0.29    6.63    
159158.00  9.67    10.26   0.29    4.15    
160159.00  10.17   10.32   0.29    0.28    
161160.00  9.65    10.38   0.29    6.38    
162161.00  10.10   10.44   0.29    1.42    
163162.00  9.78    10.51   0.29    6.24    
164163.00  10.77   10.57   0.29    0.48    
165164.00  10.42   10.63   0.29    0.53    
166165.00  10.51   10.69   0.29    0.38    
167166.00  10.12   10.76   0.29    4.85    
168167.00  10.05   10.82   0.29    7.16    
169168.00  10.23   10.88   0.29    5.12    
170169.00  11.64   10.95   0.29    5.82    
171170.00  10.68   11.01   0.29    1.32    
172171.00  12.43   11.08   0.29    22.14   
173172.00  11.83   11.14   0.29    5.73    
174173.00  12.09   11.20   0.29    9.43    
175174.00  11.92   11.27   0.29    5.04    
176175.00  13.31   11.34   0.29    46.74   
177176.00  11.69   11.40   0.29    0.99    
178177.00  12.80   11.47   0.29    21.20   
179178.00  13.05   11.53   0.29    27.56   
180179.00  14.21   11.60   0.29    81.67   
181180.00  14.54   11.66   0.29    98.94   
182181.00  14.71   11.73   0.29    106.12  
183182.00  13.70   11.80   0.29    43.59   
184183.00  14.10   11.87   0.29    60.06   
185184.00  14.16   11.93   0.29    59.69   
186185.00  15.17   12.00   0.29    120.71  
187186.00  15.05   12.07   0.29    106.42  
188187.00  15.11   12.14   0.29    106.16  
189188.00  14.97   12.20   0.29    91.89   
190189.00  15.53   12.27   0.29    127.31  
191190.00  15.52   12.34   0.29    121.28  
192191.00  15.36   12.41   0.29    104.57  
193192.00  15.15   12.48   0.29    85.31   
194193.00  15.68   12.55   0.29    117.75  
195194.00  15.75   12.62   0.29    117.67  
196195.00  15.46   12.69   0.29    92.52   
197196.00  15.67   12.76   0.29    101.66  
198197.00  16.29   12.83   0.29    144.03  
199198.00  16.10   12.90   0.29    122.98  
200199.00  15.74   12.97   0.29    91.80   
201200.00  15.39   13.04   0.29    65.99   
202201.00  15.77   13.11   0.29    84.65   
203202.00  15.27   13.18   0.29    52.06   
204203.00  16.55   13.25   0.29    130.68  
205204.00  16.43   13.33   0.29    115.77  
206205.00  16.77   13.40   0.29    136.61  
207206.00  17.47   13.47   0.29    192.42  
208207.00  17.37   13.54   0.29    175.71  
209208.00  16.59   13.62   0.29    106.35  
210209.00  16.53   13.69   0.29    96.62   
211210.00  15.69   13.76   0.29    44.54   
212211.00  15.70   13.83   0.29    41.95   
213212.00  15.61   13.91   0.29    34.80   
214213.00  16.96   13.98   0.29    106.33  
215214.00  17.09   14.06   0.29    110.56  
216215.00  16.76   14.13   0.29    82.93   
217216.00  17.08   14.20   0.29    99.10   
218217.00  18.03   14.28   0.29    169.20  
219218.00  18.58   14.35   0.29    214.55  
220219.00  18.49   14.43   0.29    197.98  
221220.00  18.31   14.50   0.29    173.55  
222221.00  17.99   14.58   0.29    139.69  
223222.00  17.91   14.65   0.29    126.93  
224223.00  18.36   14.73   0.29    158.10  
225224.00  18.76   14.80   0.29    187.96  
226225.00  18.61   14.88   0.29    166.90  
227226.00  19.83   14.96   0.29    284.82  
228227.00  19.67   15.03   0.29    257.95  
229228.00  18.96   15.11   0.29    178.23  
230229.00  19.54   15.19   0.29    227.86  
231230.00  20.68   15.26   0.29    351.51  
232231.00  21.59   15.34   0.29    468.38  
233232.00  21.72   15.42   0.29    476.54  
234233.00  22.26   15.50   0.29    548.39  
235234.00  22.96   15.57   0.29    655.30  
236235.00  22.63   15.65   0.29    583.90  
237236.00  23.32   15.73   0.29    691.24  
238237.00  23.03   15.81   0.29    626.18  
239238.00  23.36   15.89   0.29    670.49  
240239.00  23.67   15.97   0.29    712.60  
241240.00  23.81   16.05   0.29    724.19  
242241.00  23.73   16.12   0.29    693.97  
243242.00  24.70   16.20   0.29    866.86  
244243.00  25.49   16.28   0.29    1017.14 
245244.00  25.68   16.36   0.29    1041.10 
246245.00  25.72   16.44   0.29    1031.84 
247246.00  24.41   16.52   0.29    745.96  
248247.00  24.40   16.60   0.29    729.71  
249248.00  24.20   16.68   0.29    677.64  
250249.00  24.09   16.76   0.29    644.03  
251250.00  24.59   16.85   0.29    718.92  
252251.00  24.47   16.93   0.29    682.43  
253252.00  25.50   17.01   0.29    866.35  
254253.00  25.20   17.09   0.29    789.38  
255254.00  23.95   17.17   0.29    552.35  
256255.00  24.82   17.25   0.29    687.88  
257256.00  24.55   17.33   0.29    625.70  
258257.00  24.76   17.41   0.29    648.03  
259258.00  24.90   17.50   0.29    657.88  
260259.00  24.79   17.58   0.29    623.92  
261260.00  24.27   17.66   0.29    523.84  
262261.00  25.26   17.74   0.29    677.21  
263262.00  24.47   17.83   0.29    529.11  
264263.00  24.87   17.91   0.29    581.18  
265264.00  24.68   17.99   0.29    536.88  
266265.00  25.33   18.08   0.29    632.10  
267266.00  24.46   18.16   0.29    477.09  
268267.00  24.13   18.24   0.29    416.05  
269268.00  25.00   18.33   0.29    533.99  
270269.00  24.72   18.41   0.29    477.45  
271270.00  24.45   18.49   0.29    426.38  
272271.00  24.10   18.58   0.29    365.76  
273272.00  24.74   18.66   0.29    443.19  
274273.00  25.51   18.75   0.29    549.09  
275274.00  25.86   18.83   0.29    592.86  
276275.00  25.80   18.91   0.29    569.49  
277276.00  26.91   19.00   0.29    751.70  
278277.00  27.15   19.08   0.29    780.86  
279278.00  26.54   19.17   0.29    652.78  
280279.00  27.36   19.25   0.29    788.91  
281280.00  27.92   19.34   0.29    882.75  
282281.00  28.26   19.43   0.29    937.09  
283282.00  28.70   19.51   0.29    1014.12 
284283.00  29.38   19.60   0.29    1147.60 
285284.00  29.16   19.68   0.29    1076.93 
286285.00  29.68   19.77   0.29    1180.19 
287286.00  29.19   19.85   0.29    1046.46 
288287.00  29.87   19.94   0.29    1183.49 
289288.00  30.84   20.03   0.29    1403.83 
290289.00  30.76   20.11   0.29    1360.79 
291290.00  30.86   20.20   0.29    1363.53 
292291.00  31.00   20.29   0.29    1377.71 
293292.00  31.96   20.37   0.29    1610.99 
294293.00  32.40   20.46   0.29    1711.90 
295294.00  33.31   20.55   0.29    1955.94 
296295.00  32.53   20.63   0.29    1700.01 
297296.00  33.30   20.72   0.29    1897.90 
298297.00  34.00   20.81   0.29    2088.78 
299298.00  35.93   20.89   0.29    2714.87 
300299.00  35.41   20.98   0.29    2498.12 
301300.00  34.72   21.07   0.29    2238.04 
302301.00  35.60   21.16   0.29    2504.28 
303302.00  35.34   21.24   0.29    2384.31 
304303.00  35.19   21.33   0.29    2303.75 
305304.00  34.74   21.42   0.29    2130.89 
306305.00  34.83   21.51   0.29    2131.29 
307306.00  34.26   21.59   0.29    1925.38 
308307.00  34.66   21.68   0.29    2019.49 
309308.00  34.65   21.77   0.29    1990.18 
310309.00  35.38   21.86   0.29    2192.56 
311310.00  35.99   21.95   0.29    2368.10 
312311.00  35.16   22.04   0.29    2065.65 
313312.00  34.54   22.12   0.29    1851.06 
314313.00  35.03   22.21   0.29    1971.93 
315314.00  34.96   22.30   0.29    1924.01 
316315.00  34.88   22.39   0.29    1871.27 
317316.00  34.62   22.48   0.29    1769.35 
318317.00  33.92   22.57   0.29    1547.24 
319318.00  34.14   22.66   0.29    1582.28 
320319.00  35.08   22.74   0.29    1825.08 
321320.00  34.91   22.83   0.29    1749.04 
322321.00  34.05   22.92   0.29    1486.42 
323322.00  34.71   23.01   0.29    1642.98 
324323.00  34.52   23.10   0.29    1564.30 
325324.00  34.94   23.19   0.29    1657.38 
326325.00  35.91   23.28   0.29    1914.22 
327326.00  36.35   23.37   0.29    2023.30 
328327.00  35.78   23.46   0.29    1822.62 
329328.00  35.26   23.55   0.29    1648.15 
330329.00  35.06   23.63   0.29    1566.56 
331330.00  35.43   23.72   0.29    1643.34 
332331.00  36.00   23.81   0.29    1781.12 
333332.00  36.18   23.90   0.29    1810.03 
334333.00  35.70   23.99   0.29    1644.14 
335334.00  36.22   24.08   0.29    1769.32 
336335.00  36.49   24.17   0.29    1821.43 
337336.00  36.54   24.26   0.29    1809.64 
338337.00  37.95   24.35   0.29    2221.12 
339338.00  38.74   24.44   0.29    2454.03 
340339.00  38.17   24.53   0.29    2233.58 
341340.00  37.75   24.62   0.29    2068.96 
342341.00  38.30   24.71   0.29    2217.06 
343342.00  38.16   24.80   0.29    2143.96 
344343.00  38.55   24.89   0.29    2241.39 
345344.00  39.36   24.98   0.29    2483.16 
346345.00  39.49   25.07   0.29    2496.89 
347346.00  38.88   25.15   0.29    2261.30 
348347.00  40.00   25.24   0.29    2612.96 
349348.00  39.42   25.33   0.29    2379.46 
350349.00  40.20   25.42   0.29    2622.08 
351350.00  39.18   25.51   0.29    2240.21 
352351.00  39.52   25.60   0.29    2323.54 
353352.00  40.38   25.69   0.29    2589.53 
354353.00  40.43   25.78   0.29    2574.09 
355354.00  40.18   25.87   0.29    2456.53 
356355.00  40.49   25.96   0.29    2535.06 
357356.00  40.69   26.05   0.29    2571.22 
358357.00  40.32   26.14   0.29    2414.08 
359358.00  40.47   26.23   0.29    2433.51 
360359.00  41.52   26.32   0.29    2775.45 
361360.00  42.26   26.41   0.29    3017.89 
362361.00  41.45   26.49   0.29    2684.42 
363362.00  41.22   26.58   0.29    2571.99 
364363.00  42.36   26.67   0.29    2954.89 
365364.00  42.05   26.76   0.29    2805.62 
366365.00  41.61   26.85   0.29    2613.99 
367366.00  40.99   26.94   0.29    2368.66 
368367.00  40.76   27.03   0.29    2263.99 
369368.00  40.83   27.12   0.29    2255.54 
370369.00  41.02   27.21   0.29    2290.25 
371370.00  39.95   27.29   0.29    1923.35 
372371.00  40.07   27.38   0.29    1932.00 
373372.00  39.41   27.47   0.29    1711.21 
374373.00  39.48   27.56   0.29    1703.65 
375374.00  38.43   27.65   0.29    1395.53 
376375.00  38.00   27.74   0.29    1263.43 
377376.00  38.76   27.82   0.29    1434.67 
378377.00  38.78   27.91   0.29    1417.61 
379378.00  38.29   28.00   0.29    1270.93 
380379.00  38.05   28.09   0.29    1190.04 
381380.00  36.46   28.18   0.29    822.91  
382381.00  36.50   28.26   0.29    814.35  
383382.00  37.63   28.35   0.29    1032.95 
384383.00  38.77   28.44   0.29    1281.00 
385384.00  37.53   28.53   0.29    971.80  
386385.00  37.46   28.61   0.29    938.29  
387386.00  37.25   28.70   0.29    876.00  
388387.00  37.97   28.79   0.29    1011.11 
389388.00  37.10   28.88   0.29    811.67  
390389.00  37.58   28.96   0.29    891.87  
391390.00  37.92   29.05   0.29    943.52  
392391.00  38.34   29.14   0.29    1015.36 
393392.00  38.21   29.22   0.29    969.63  
394393.00  38.34   29.31   0.29    978.78  
395394.00  38.29   29.40   0.29    950.21  
396395.00  37.81   29.48   0.29    832.09  
397396.00  38.47   29.57   0.29    950.41  
398397.00  38.78   29.65   0.29    998.22  
399398.00  38.17   29.74   0.29    852.66  
400399.00  37.92   29.83   0.29    786.06  
401400.00  36.48   29.91   0.29    517.45  
402401.00  36.39   30.00   0.29    490.35  
403402.00  37.55   30.08   0.29    669.02  
404403.00  38.42   30.17   0.29    817.85  
405404.00  38.49   30.25   0.29    814.11  
406405.00  38.83   30.34   0.29    866.23  
407406.00  39.02   30.42   0.29    887.65  
408407.00  39.66   30.51   0.29    1006.10 
409408.00  38.63   30.59   0.29    776.31  
410409.00  38.03   30.68   0.29    648.91  
411410.00  37.61   30.76   0.29    562.94  
412411.00  37.93   30.84   0.29    602.76  
413412.00  38.35   30.93   0.29    661.68  
414413.00  38.66   31.01   0.29    702.22  
415414.00  38.38   31.09   0.29    637.27  
416415.00  38.42   31.18   0.29    629.03  
417416.00  37.91   31.26   0.29    530.05  
418417.00  37.16   31.34   0.29    406.20  
419418.00  37.24   31.43   0.29    405.57  
420419.00  37.37   31.51   0.29    412.38  
421420.00  37.75   31.59   0.29    455.79  
422421.00  37.70   31.67   0.29    435.44  
423422.00  37.30   31.75   0.29    369.38  
424423.00  36.24   31.84   0.29    233.04  
425424.00  35.88   31.92   0.29    188.19  
426425.00  35.79   32.00   0.29    172.17  
427426.00  36.59   32.08   0.29    244.46  
428427.00  35.58   32.16   0.29    140.55  
429428.00  34.85   32.24   0.29    81.88   
430429.00  34.75   32.32   0.29    70.74   
431430.00  34.80   32.40   0.29    68.80   
432431.00  34.17   32.48   0.29    34.21   
433432.00  33.99   32.56   0.29    24.49   
434433.00  33.31   32.64   0.29    5.43    
435434.00  31.65   32.72   0.29    13.80   
436435.00  31.43   32.80   0.29    22.63   
437436.00  30.83   32.88   0.29    50.30   
438437.00  31.62   32.96   0.29    21.34   
439438.00  30.68   33.03   0.29    66.43   
440439.00  30.88   33.11   0.29    59.84   
441440.00  29.47   33.19   0.29    165.90  
442441.00  29.09   33.27   0.29    209.51  
443442.00  28.75   33.35   0.29    253.80  
444443.00  28.27   33.42   0.29    318.53  
445444.00  27.23   33.50   0.29    471.85  
446445.00  26.25   33.58   0.29    644.03  
447446.00  25.70   33.65   0.29    759.13  
448447.00  25.84   33.73   0.29    746.54  
449448.00  25.30   33.80   0.29    867.53  
450449.00  25.25   33.88   0.29    894.10  
451450.00  24.66   33.95   0.29    1036.10 
452451.00  24.25   34.03   0.29    1148.20 
453452.00  24.61   34.10   0.29    1082.66 
454453.00  24.93   34.18   0.29    1027.60 
455454.00  24.47   34.25   0.29    1149.28 
456455.00  24.51   34.33   0.29    1157.18 
457456.00  24.45   34.40   0.29    1188.47 
458457.00  24.99   34.47   0.29    1078.25 
459458.00  24.44   34.55   0.29    1227.02 
460459.00  24.66   34.62   0.29    1189.43 
461460.00  23.94   34.69   0.29    1387.19 
462461.00  24.52   34.76   0.29    1258.51 
463462.00  24.24   34.84   0.29    1347.95 
464463.00  24.57   34.91   0.29    1282.33 
465464.00  24.73   34.98   0.29    1260.62 
466465.00  24.28   35.05   0.29    1392.58 
467466.00  24.41   35.12   0.29    1377.24 
468467.00  24.71   35.19   0.29    1318.00 
469468.00  25.23   35.26   0.29    1206.18 
470469.00  26.06   35.33   0.29    1031.32 
471470.00  25.97   35.40   0.29    1066.24 
472471.00  25.51   35.47   0.29    1188.89 
473472.00  26.44   35.54   0.29    992.45  
474473.00  26.62   35.61   0.29    969.18  
475474.00  27.72   35.67   0.29    759.21  
476475.00  28.12   35.74   0.29    697.04  
477476.00  28.74   35.81   0.29    599.42  
478477.00  28.67   35.88   0.29    623.80  
479478.00  28.43   35.94   0.29    676.90  
480479.00  29.06   36.01   0.29    579.79  
481480.00  29.76   36.07   0.29    478.99  
482481.00  31.51   36.14   0.29    257.66  
483482.00  31.64   36.21   0.29    249.78  
484483.00  31.31   36.27   0.29    294.89  
485484.00  31.35   36.34   0.29    298.74  
486485.00  32.08   36.40   0.29    223.91  
487486.00  32.27   36.46   0.29    211.44  
488487.00  32.73   36.53   0.29    173.17  
489488.00  33.47   36.59   0.29    116.49  
490489.00  33.91   36.65   0.29    90.55   
491490.00  34.27   36.72   0.29    71.50   
492491.00  35.40   36.78   0.29    22.63   
493492.00  34.62   36.84   0.29    58.94   
494493.00  35.56   36.90   0.29    21.55   
495494.00  36.10   36.96   0.29    8.94    
496495.00  35.60   37.02   0.29    24.43   
497496.00  35.66   37.08   0.29    24.28   
498497.00  36.61   37.14   0.29    3.34    
499498.00  36.80   37.20   0.29    1.95    
500499.00  36.97   37.26   0.29    0.99    
501500.00  37.35   37.32   0.29    0.01    
502501.00  37.03   37.38   0.29    1.45    
503502.00  37.35   37.44   0.29    0.09    
504503.00  37.36   37.49   0.29    0.21    
505504.00  37.06   37.55   0.29    2.92    
506505.00  37.93   37.61   0.29    1.26    
507506.00  38.67   37.66   0.29    12.11   
508507.00  38.62   37.72   0.29    9.85    
509508.00  37.88   37.77   0.29    0.14    
510509.00  38.68   37.83   0.29    8.72    
511510.00  38.87   37.88   0.29    11.57   
512511.00  37.77   37.94   0.29    0.34    
513512.00  37.88   37.99   0.29    0.16    
514513.00  38.34   38.05   0.29    1.08    
515514.00  38.69   38.10   0.29    4.14    
516515.00  37.72   38.15   0.29    2.20    
517516.00  37.77   38.20   0.29    2.27    
518517.00  38.12   38.25   0.29    0.22    
519518.00  38.50   38.31   0.29    0.47    
520519.00  38.98   38.36   0.29    4.63    
521520.00  39.59   38.41   0.29    16.91   
522521.00  38.83   38.46   0.29    1.68    
523522.00  38.28   38.51   0.29    0.61    
524523.00  37.53   38.56   0.29    12.64   
525524.00  36.93   38.60   0.29    33.47   
526525.00  38.21   38.65   0.29    2.39    
527526.00  38.09   38.70   0.29    4.51    
528527.00  37.78   38.75   0.29    11.17   
529528.00  36.81   38.79   0.29    47.37   
530529.00  37.71   38.84   0.29    15.24   
531530.00  36.56   38.89   0.29    65.25   
532531.00  36.44   38.93   0.29    74.81   
533532.00  37.10   38.98   0.29    42.40   
534533.00  37.08   39.02   0.29    45.41   
535534.00  36.69   39.07   0.29    67.99   
536535.00  36.86   39.11   0.29    60.57   
537536.00  37.22   39.15   0.29    44.76   
538537.00  36.70   39.20   0.29    74.88   
539538.00  37.77   39.24   0.29    25.77   
540539.00  37.23   39.28   0.29    50.41   
541540.00  36.58   39.32   0.29    90.52   
542541.00  37.65   39.36   0.29    35.21   
543542.00  38.16   39.40   0.29    18.56   
544543.00  37.82   39.44   0.29    31.73   
545544.00  37.89   39.48   0.29    30.45   
546545.00  38.89   39.52   0.29    4.81    
547546.00  38.64   39.56   0.29    10.13   
548547.00  38.83   39.60   0.29    7.06    
549548.00  38.52   39.64   0.29    15.01   
550549.00  39.05   39.68   0.29    4.65    
551550.00  40.40   39.71   0.29    5.60    
552551.00  41.21   39.75   0.29    25.71   
553552.00  41.27   39.78   0.29    26.45   
554553.00  41.68   39.82   0.29    41.35   
555554.00  41.86   39.85   0.29    48.35   
556555.00  42.92   39.89   0.29    110.24  
557556.00  42.73   39.92   0.29    94.83   
558557.00  42.68   39.96   0.29    88.73   
559558.00  42.25   39.99   0.29    61.50   
560559.00  42.23   40.02   0.29    58.60   
561560.00  41.99   40.05   0.29    45.22   
562561.00  43.24   40.08   0.29    119.16  
563562.00  42.33   40.12   0.29    58.98   
564563.00  42.30   40.15   0.29    55.54   
565564.00  41.90   40.18   0.29    35.81   
566565.00  41.07   40.21   0.29    9.05    
567566.00  41.55   40.23   0.29    20.74   
568567.00  41.09   40.26   0.29    8.15    
569568.00  41.82   40.29   0.29    28.11   
570569.00  41.05   40.32   0.29    6.50    
571570.00  39.46   40.35   0.29    9.36    
572571.00  39.35   40.37   0.29    12.55   
573572.00  39.45   40.40   0.29    10.84   
574573.00  39.64   40.42   0.29    7.36    
575574.00  40.61   40.45   0.29    0.31    
576575.00  42.01   40.47   0.29    28.53   
577576.00  41.11   40.50   0.29    4.58    
578577.00  39.41   40.52   0.29    14.73   
579578.00  38.54   40.54   0.29    48.08   
