Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
280.5     169.0     12.729       170.150       0.008        
281.5     168.0     12.693       169.080       0.007        
282.5     165.0     12.584       168.016       0.057        
283.5     190.0     13.461       166.960       2.930        
284.5     159.0     12.362       165.910       0.312        
285.5     148.0     11.944       164.867       1.994        
286.5     146.0     11.866       163.831       2.258        
287.5     163.0     12.511       162.801       0.000        
288.5     183.0     13.222       161.777       2.576        
289.5     154.0     12.174       160.760       0.308        
290.5     170.0     12.765       159.750       0.645        
291.5     146.0     11.866       158.746       1.154        
292.5     159.0     12.362       157.749       0.010        
293.5     144.0     11.787       156.757       1.171        
294.5     161.0     12.437       155.772       0.177        
295.5     167.0     12.657       154.794       0.930        
296.5     155.0     12.212       153.821       0.009        
297.5     156.0     12.250       152.855       0.066        
298.5     135.0     11.426       151.895       2.186        
299.5     136.0     11.467       150.941       1.698        
300.5     151.0     12.060       149.993       0.007        
301.5     159.0     12.362       149.051       0.648        
302.5     142.0     11.708       148.115       0.273        
303.5     153.0     12.136       147.185       0.230        
304.5     151.0     12.060       146.261       0.154        
305.5     162.0     12.474       145.343       1.783        
306.5     140.0     11.628       144.430       0.145        
307.5     141.0     11.668       143.524       0.047        
308.5     138.0     11.548       142.623       0.160        
309.5     133.0     11.344       141.728       0.592        
310.5     149.0     11.982       140.838       0.464        
311.5     155.0     12.212       139.954       1.518        
312.5     119.0     10.749       139.076       3.488        
313.5     143.0     11.748       138.204       0.167        
314.5     134.0     11.385       137.337       0.086        
315.5     132.0     11.302       136.475       0.157        
316.5     160.0     12.400       135.619       3.866        
317.5     158.0     12.325       134.768       3.553        
318.5     138.0     11.548       133.923       0.125        
319.5     122.0     10.880       133.083       1.038        
320.5     131.0     11.261       132.249       0.012        
321.5     157.0     12.287       131.420       4.334        
322.5     133.0     11.344       130.596       0.045        
323.5     115.0     10.572       129.777       1.954        
324.5     101.0     9.925        128.964       7.938        
325.5     134.0     11.385       128.155       0.264        
326.5     121.0     10.836       127.352       0.344        
327.5     133.0     11.344       126.554       0.323        
328.5     143.0     11.748       125.761       2.153        
329.5     114.0     10.527       124.973       1.087        
330.5     114.0     10.527       124.190       0.937        
331.5     131.0     11.261       123.412       0.454        
332.5     132.0     11.302       122.639       0.686        
333.5     138.0     11.548       121.871       1.951        
334.5     115.0     10.572       121.108       0.334        
335.5     117.0     10.661       120.350       0.099        
336.5     124.0     10.966       119.596       0.161        
337.5     104.0     10.068       118.847       2.175        
338.5     117.0     10.661       118.103       0.011        
339.5     122.0     10.880       117.364       0.182        
340.5     122.0     10.880       116.630       0.244        
341.5     103.0     10.020       115.900       1.657        
342.5     106.0     10.162       115.174       0.815        
343.5     111.0     10.392       114.454       0.110        
344.5     107.0     10.208       113.738       0.436        
345.5     99.0      9.829        113.026       2.036        
346.5     106.0     10.162       112.319       0.387        
347.5     117.0     10.661       111.617       0.255        
348.5     118.0     10.705       110.919       0.438        
349.5     123.0     10.923       110.225       1.368        
350.5     108.0     10.254       109.536       0.022        <--
351.5     114.0     10.527       108.851       0.239        
352.5     120.0     10.793       108.170       1.201        
353.5     115.0     10.572       107.494       0.504        
354.5     119.0     10.749       106.822       1.283        
355.5     120.0     10.793       106.155       1.646        
356.5     111.0     10.392       105.491       0.281        
357.5     114.0     10.527       104.832       0.758        
358.5     104.0     10.068       104.177       0.000        
359.5     125.0     11.008       103.527       3.805        
360.5     109.0     10.300       102.880       0.353        
361.5     112.0     10.437       102.237       0.875        
362.5     117.0     10.661       101.599       2.087        
363.5     97.0      9.732        100.965       0.166        
364.5     114.0     10.527       100.334       1.685        
365.5     114.0     10.527       99.708        1.843        
366.5     93.0      9.534        99.086        0.407        
367.5     112.0     10.437       98.467        1.681        
368.5     80.0      8.856        97.853        4.063        
369.5     102.0     9.973        97.242        0.228        
370.5     87.0      9.228        96.635        1.090        <--
371.5     105.0     10.115       96.033        0.786        
372.5     87.0      9.228        95.434        0.835        
373.5     82.0      8.964        94.838        2.051        
374.5     88.0      9.280        94.247        0.453        
375.5     78.0      8.747        93.659        3.205        
376.5     88.0      9.280        93.075        0.299        
377.5     98.0      9.780        92.495        0.317        
378.5     121.0     10.836       91.919        7.202        
379.5     97.0      9.732        91.346        0.338        
380.5     74.0      8.524        90.777        3.873        
381.5     87.0      9.228        90.211        0.121        
382.5     89.0      9.331        89.649        0.005        
383.5     69.0      8.236        89.091        5.950        
384.5     89.0      9.331        88.536        0.002        
385.5     77.0      8.692        87.984        1.597        
386.5     84.0      9.071        87.436        0.144        
387.5     79.0      8.802        86.892        0.804        
388.5     89.0      9.331        86.351        0.081        
389.5     83.0      9.018        85.814        0.097        
390.5     77.0      8.692        85.280        0.907        
391.5     75.0      8.581        84.749        1.291        
392.5     69.0      8.236        84.222        3.416        
393.5     80.0      8.856        83.698        0.174        
394.5     74.0      8.524        83.177        1.159        
395.5     84.0      9.071        82.660        0.022        
396.5     80.0      8.856        82.146        0.059        
397.5     65.0      7.998        81.635        4.326        
398.5     67.0      8.118        81.128        3.028        
399.5     88.0      9.280        80.623        0.632        
400.5     63.0      7.876        80.122        4.726        
401.5     75.0      8.581        79.624        0.290        
402.5     66.0      8.058        79.130        2.655        
403.5     81.0      8.911        78.638        0.070        
404.5     62.0      7.814        78.150        4.271        
405.5     62.0      7.814        77.664        4.018        
406.5     67.0      8.118        77.182        1.573        
407.5     72.0      8.410        76.703        0.313        
408.5     56.0      7.432        76.227        7.407        
409.5     58.0      7.562        75.753        5.512        
410.5     51.0      7.097        75.283        11.708       
411.5     69.0      8.236        74.816        0.499        
412.5     75.0      8.581        74.352        0.006        
413.5     62.0      7.814        73.891        2.316        
414.5     68.0      8.177        73.433        0.441        
415.5     67.0      8.118        72.977        0.542        
416.5     63.0      7.876        72.525        1.462        
417.5     61.0      7.752        72.075        2.041        
418.5     60.0      7.689        71.628        2.287        
419.5     76.0      8.637        71.184        0.311        
420.5     78.0      8.747        70.743        0.688        
421.5     75.0      8.581        70.305        0.299        
422.5     58.0      7.562        69.870        2.464        
423.5     63.0      7.876        69.437        0.668        
424.5     63.0      7.876        69.007        0.582        
425.5     46.0      6.744        68.580        11.209       
426.5     70.0      8.295        68.155        0.049        
427.5     60.0      7.689        67.733        1.012        
428.5     58.0      7.562        67.314        1.517        
429.5     56.0      7.432        66.898        2.150        
430.5     50.0      7.028        66.484        5.501        
431.5     67.0      8.118        66.073        0.013        
432.5     62.0      7.814        65.664        0.220        
433.5     54.0      7.300        65.258        2.378        
434.5     72.0      8.410        64.855        0.722        
435.5     52.0      7.165        64.454        3.021        
436.5     70.0      8.295        64.055        0.514        
437.5     61.0      7.752        63.660        0.118        
438.5     60.0      7.689        63.266        0.180        
439.5     51.0      7.097        62.876        2.800        
440.5     63.0      7.876        62.487        0.004        
441.5     51.0      7.097        62.102        2.447        
442.5     47.0      6.816        61.718        4.663        
443.5     52.0      7.165        61.337        1.698        
444.5     56.0      7.432        60.959        0.445        
445.5     61.0      7.752        60.583        0.003        
446.5     62.0      7.814        60.209        0.053        
447.5     65.0      7.998        59.838        0.417        
448.5     39.0      6.215        59.469        10.846       
449.5     45.0      6.671        59.102        4.468        
450.5     48.0      6.887        58.738        2.431        
451.5     52.0      7.165        58.376        0.792        
452.5     44.0      6.598        58.016        4.513        
453.5     49.0      6.958        57.659        1.549        
454.5     44.0      6.598        57.304        4.066        
455.5     59.0      7.626        56.951        0.072        
456.5     51.0      7.097        56.600        0.623        
457.5     47.0      6.816        56.252        1.842        
458.5     47.0      6.816        55.906        1.707        
459.5     60.0      7.689        55.562        0.333        
460.5     43.0      6.523        55.220        3.509        
461.5     49.0      6.958        54.880        0.714        
462.5     52.0      7.165        54.543        0.126        
463.5     47.0      6.816        54.207        1.118        
464.5     47.0      6.816        53.874        1.017        
465.5     48.0      6.887        53.543        0.648        
466.5     49.0      6.958        53.214        0.367        
467.5     48.0      6.887        52.887        0.504        
468.5     43.0      6.523        52.562        2.149        
469.5     34.0      5.807        52.240        9.867        
470.5     40.0      6.294        51.919        3.587        
471.5     36.0      5.974        51.600        6.820        
472.5     52.0      7.165        51.284        0.010        
473.5     44.0      6.598        50.969        1.116        
474.5     41.0      6.371        50.657        2.297        
475.5     42.0      6.447        50.346        1.676        
476.5     43.0      6.523        50.037        1.164        
477.5     48.0      6.887        49.731        0.063        
478.5     47.0      6.816        49.426        0.127        
479.5     38.0      6.136        49.123        3.286        
480.5     53.0      7.233        48.822        0.334        
481.5     47.0      6.816        48.523        0.050        
482.5     35.0      5.891        48.226        5.041        
483.5     42.0      6.447        47.931        0.846        
484.5     53.0      7.233        47.638        0.550        
485.5     40.0      6.294        47.346        1.363        
486.5     44.0      6.598        47.057        0.215        
487.5     44.0      6.598        46.769        0.176        
488.5     39.0      6.215        46.483        1.450        
489.5     39.0      6.215        46.199        1.342        
490.5     33.0      5.721        45.917        5.097        
491.5     40.0      6.294        45.636        0.802        
492.5     51.0      7.097        45.358        0.632        
493.5     41.0      6.371        45.081        0.410        
494.5     37.0      6.055        44.805        1.662        
495.5     44.0      6.598        44.532        0.007        
496.5     37.0      6.055        44.260        1.438        
497.5     53.0      7.233        43.990        1.552        
498.5     45.0      6.671        43.722        0.037        
499.5     40.0      6.294        43.456        0.301        

Gradi di liberta = 217
Chi-quadro = 332.5737711882425
p-value = 7.231159341972228e-07

