Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
430.5     5.0       2.235        1.652         2.245        
431.5     6.0       2.448        1.652         3.156        
432.5     4.0       1.999        1.652         1.380        
433.5     5.0       2.235        1.652         2.245        
434.5     13.0      3.600        1.652         9.938        
435.5     3.0       1.731        1.652         0.606        
436.5     9.0       2.997        1.652         6.013        
437.5     5.0       2.235        1.652         2.245        
438.5     8.0       2.826        1.652         5.047        
439.5     7.0       2.643        1.652         4.093        
440.5     6.0       2.448        1.652         3.156        
441.5     6.0       2.448        1.652         3.156        
442.5     5.0       2.235        1.652         2.245        
443.5     7.0       2.643        1.652         4.093        
444.5     6.0       2.448        1.652         3.156        
445.5     2.0       1.414        1.652         0.061        
446.5     6.0       2.448        1.652         3.156        
447.5     5.0       2.235        1.652         2.245        
448.5     4.0       1.999        1.652         1.380        
449.5     5.0       2.235        1.652         2.245        
450.5     10.0      3.158        1.652         6.986        
451.5     5.0       2.235        1.652         2.245        
452.5     3.0       1.731        1.652         0.606        
453.5     8.0       2.826        1.652         5.047        
454.5     9.0       2.997        1.652         6.013        
455.5     5.0       2.235        1.652         2.245        
456.5     8.0       2.826        1.652         5.047        
457.5     7.0       2.643        1.652         4.093        
458.5     4.0       1.999        1.652         1.380        
459.5     4.0       1.999        1.652         1.380        
460.5     4.0       1.999        1.652         1.380        
461.5     6.0       2.448        1.652         3.156        
462.5     3.0       1.731        1.652         0.606        
463.5     0.0       1.731        1.652         0.606        
464.5     5.0       2.235        1.652         2.245        
465.5     4.0       1.999        1.652         1.380        
466.5     5.0       2.235        1.652         2.245        
467.5     6.0       2.448        1.652         3.156        
468.5     4.0       1.999        1.652         1.380        
469.5     4.0       1.999        1.652         1.380        
470.5     2.0       1.414        1.652         0.061        
471.5     1.0       1.000        1.652         0.425        
472.5     8.0       2.826        1.652         5.047        
473.5     1.0       1.000        1.652         0.425        
474.5     3.0       1.731        1.652         0.606        
475.5     6.0       2.448        1.652         3.156        
476.5     5.0       2.235        1.652         2.245        
477.5     4.0       1.999        1.652         1.380        
478.5     7.0       2.643        1.652         4.093        
479.5     4.0       1.999        1.652         1.380        
480.5     7.0       2.643        1.652         4.093        
481.5     1.0       1.000        1.652         0.425        
482.5     3.0       1.731        1.652         0.606        
483.5     4.0       1.999        1.652         1.380        
484.5     6.0       2.448        1.652         3.156        
485.5     4.0       1.999        1.652         1.380        
486.5     4.0       1.999        1.652         1.380        
487.5     2.0       1.414        1.652         0.061        
488.5     5.0       2.235        1.652         2.245        
489.5     3.0       1.731        1.652         0.606        
490.5     3.0       1.731        1.652         0.606        
491.5     4.0       1.999        1.652         1.380        
492.5     1.0       1.000        1.652         0.425        
493.5     5.0       2.235        1.652         2.245        
494.5     2.0       1.414        1.652         0.061        
495.5     5.0       2.235        1.652         2.245        
496.5     2.0       1.414        1.652         0.061        
497.5     4.0       1.999        1.652         1.380        
498.5     2.0       1.414        1.652         0.061        
499.5     4.0       1.999        1.652         1.380        

Gradi di liberta = 217
Chi-quadro = 1423.3762813143708
p-value = 3.1990406674544734e-176

