Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
280.5     351.0     18.735       339.338       0.387        
281.5     326.0     18.055       337.256       0.389        
282.5     341.0     18.466       335.187       0.099        
283.5     333.0     18.248       333.131       0.000        
284.5     341.0     18.466       331.087       0.288        
285.5     320.0     17.889       329.057       0.256        
286.5     313.0     17.692       327.038       0.630        
287.5     330.0     18.166       325.033       0.075        
288.5     343.0     18.520       323.039       1.162        
289.5     324.0     18.000       321.059       0.027        
290.5     345.0     18.574       319.090       1.946        
291.5     298.0     17.263       317.133       1.228        
292.5     311.0     17.635       315.189       0.056        
293.5     299.0     17.292       313.257       0.680        
294.5     309.0     17.578       311.337       0.018        
295.5     337.0     18.358       309.428       2.256        
296.5     337.0     18.358       307.532       2.577        
297.5     325.0     18.028       305.647       1.152        
298.5     310.0     17.607       303.774       0.125        
299.5     276.0     16.613       301.912       2.433        
300.5     287.0     16.941       300.062       0.594        
301.5     319.0     17.861       298.224       1.353        
302.5     296.0     17.205       296.396       0.001        
303.5     280.0     16.733       294.581       0.759        
304.5     303.0     17.407       292.776       0.345        
305.5     303.0     17.407       290.983       0.477        
306.5     280.0     16.733       289.200       0.302        
307.5     264.0     16.248       287.429       2.079        
308.5     276.0     16.613       285.669       0.339        
309.5     277.0     16.643       283.919       0.173        
310.5     273.0     16.523       282.181       0.309        
311.5     281.0     16.763       280.453       0.001        
312.5     257.0     16.031       278.736       1.838        
313.5     280.0     16.733       277.029       0.032        
314.5     273.0     16.523       275.334       0.020        
315.5     261.0     16.155       273.648       0.613        
316.5     292.0     17.088       271.973       1.374        
317.5     285.0     16.882       270.309       0.757        
318.5     281.0     16.763       268.654       0.542        
319.5     254.0     15.937       267.010       0.666        
320.5     248.0     15.748       265.377       1.218        
321.5     276.0     16.613       263.753       0.543        
322.5     261.0     16.155       262.139       0.005        
323.5     234.0     15.297       260.536       3.009        
324.5     224.0     14.967       258.942       5.451        
325.5     265.0     16.279       257.358       0.220        
326.5     261.0     16.155       255.784       0.104        
327.5     264.0     16.248       254.220       0.362        
328.5     260.0     16.125       252.665       0.207        
329.5     249.0     15.780       251.120       0.018        
330.5     216.0     14.697       249.585       5.222        
331.5     270.0     16.432       248.059       1.783        
332.5     257.0     16.031       246.543       0.426        
333.5     246.0     15.684       245.036       0.004        
334.5     252.0     15.875       243.538       0.284        
335.5     251.0     15.843       242.050       0.319        
