Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
417.5     2896.0    53.814       3574.267      158.856      
418.5     2847.0    53.357       3561.451      179.291      
419.5     2899.0    53.842       3548.682      145.597      
420.5     2963.0    54.433       3535.961      110.794      
421.5     2933.0    54.157       3523.286      118.799      
422.5     3055.0    55.272       3510.659      67.962       
423.5     3068.0    55.390       3498.078      60.289       
424.5     3221.0    56.754       3485.544      21.727       
425.5     3123.0    55.884       3473.056      39.238       
426.5     3287.0    57.332       3460.615      9.170        
427.5     3262.0    57.114       3448.219      10.631       
428.5     3525.0    59.372       3435.870      2.254        
429.5     3558.0    59.649       3423.566      5.079        
430.5     3698.0    60.811       3411.308      22.226       
431.5     3823.0    61.830       3399.095      47.004       
432.5     3934.0    62.722       3386.927      76.077       
433.5     4002.0    63.261       3374.805      98.294       
434.5     4032.0    63.498       3362.727      111.093      
435.5     4258.0    65.253       3350.694      193.331      
436.5     4457.0    66.761       3338.706      280.588      
437.5     4611.0    67.904       3326.762      357.681      
438.5     4751.0    68.927       3314.862      434.117      
439.5     4877.0    69.836       3303.007      507.987      
440.5     4988.0    70.626       3291.195      577.215      
441.5     5040.0    70.993       3279.427      615.003      
442.5     5195.0    72.076       3267.703      715.010      
443.5     5408.0    73.539       3256.022      856.326      
444.5     5556.0    74.539       3244.384      961.765      
445.5     5570.0    74.632       3232.789      980.710      
446.5     5613.0    74.920       3221.238      1019.157     
447.5     5774.0    75.987       3209.729      1138.810     
448.5     5810.0    76.223       3198.262      1174.040     
449.5     5901.0    76.818       3186.839      1248.377     
450.5     6085.0    78.006       3175.457      1391.198     
451.5     6005.0    77.492       3164.118      1343.982     
452.5     6135.0    78.326       3152.820      1449.616     
453.5     6106.0    78.141       3141.565      1439.220     
454.5     6058.0    77.833       3130.351      1414.845     
455.5     5922.0    76.955       3119.179      1326.546     
456.5     5984.0    77.356       3108.048      1382.203     
457.5     5899.0    76.805       3096.958      1330.978     
458.5     5862.0    76.564       3085.909      1314.684     
459.5     5605.0    74.867       3074.902      1142.087     
460.5     5742.0    75.776       3063.935      1249.048     
461.5     5361.0    73.219       3053.008      993.625      
462.5     5498.0    74.148       3042.123      1097.005     
463.5     5231.0    72.326       3031.277      925.020      
464.5     5190.0    72.042       3020.472      906.908      
465.5     4959.0    70.420       3009.706      766.232      
466.5     4840.0    69.570       2998.981      700.279      
467.5     4677.0    68.389       2988.295      609.734      
468.5     4574.0    67.631       2977.649      557.136      
469.5     4345.0    65.917       2967.042      437.001      
470.5     4183.0    64.676       2956.474      359.638      
471.5     4016.0    63.372       2945.946      285.114      
472.5     3912.0    62.546       2935.456      243.772      
473.5     3786.0    61.530       2925.006      195.803      
474.5     3663.0    60.523       2914.594      152.911      
475.5     3433.0    58.592       2904.221      81.447       
476.5     3327.0    57.680       2893.886      56.383       
477.5     3076.0    55.462       2883.589      12.036       
478.5     3022.0    54.973       2873.331      7.314        
479.5     2973.0    54.525       2863.110      4.062        
480.5     2773.0    52.659       2852.928      2.304        
481.5     2530.0    50.299       2842.783      38.669       
482.5     2668.0    51.653       2832.676      10.164       
483.5     2531.0    50.309       2822.606      33.597       
484.5     2343.0    48.405       2812.573      94.110       
485.5     2293.0    47.885       2802.578      113.244      
486.5     2286.0    47.812       2792.619      112.276      
487.5     2221.0    47.127       2782.698      142.055      
488.5     2203.0    46.936       2772.813      147.384      
489.5     2158.0    46.454       2762.964      169.593      
490.5     2192.0    46.819       2753.153      143.655      
491.5     2134.0    46.195       2743.377      174.012      
492.5     1995.0    44.665       2733.638      273.477      
493.5     2057.0    45.354       2723.935      216.238      
494.5     2158.0    46.454       2714.268      143.389      
495.5     2173.0    46.615       2704.636      130.068      
496.5     2211.0    47.021       2695.041      105.968      
497.5     2201.0    46.915       2685.480      106.643      
498.5     2193.0    46.829       2675.956      106.359      
499.5     2303.0    47.990       2666.466      57.363       

Gradi di liberta = 217
Chi-quadro = 75845.21282650538
p-value = 0.0

