Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
421.5     684.0     26.153       757.292       7.853        
422.5     644.0     25.377       752.724       18.355       
423.5     692.0     26.306       748.183       4.561        
424.5     699.0     26.439       743.671       2.855        
425.5     708.0     26.608       739.186       1.374        
426.5     683.0     26.134       734.730       3.918        
427.5     668.0     25.846       730.300       5.810        
428.5     644.0     25.377       725.899       10.415       
429.5     631.0     25.120       721.524       12.987       
430.5     618.0     24.860       717.177       15.916       
431.5     667.0     25.826       712.856       3.153        
432.5     656.0     25.612       708.562       4.212        
433.5     675.0     25.981       704.295       1.271        
434.5     676.0     26.000       700.054       0.856        
435.5     647.0     25.436       695.840       3.687        
436.5     645.0     25.397       691.651       3.374        
437.5     631.0     25.120       687.489       5.057        
438.5     630.0     25.100       683.352       4.518        
439.5     644.0     25.377       679.240       1.928        
440.5     632.0     25.140       675.155       2.947        
441.5     644.0     25.377       671.094       1.140        
442.5     607.0     24.637       667.059       5.942        
443.5     587.0     24.228       663.048       9.852        
444.5     583.0     24.145       659.063       9.924        
445.5     606.0     24.617       655.102       3.978        
446.5     549.0     23.431       651.165       19.012       
447.5     654.0     25.573       647.253       0.070        
448.5     591.0     24.310       643.365       4.640        
449.5     576.0     24.000       639.501       7.001        
450.5     568.0     23.833       635.661       8.060        
451.5     589.0     24.269       631.845       3.117        
452.5     594.0     24.372       628.052       1.952        
453.5     542.0     23.281       624.283       12.492       
454.5     550.0     23.452       620.537       9.046        
455.5     582.0     24.125       616.815       2.083        
456.5     538.0     23.195       613.115       10.488       
457.5     509.0     22.561       609.439       19.819       
458.5     542.0     23.281       605.785       7.506        
459.5     509.0     22.561       602.153       17.048       
460.5     541.0     23.259       598.544       6.121        
461.5     493.0     22.204       594.958       21.086       
462.5     528.0     22.978       591.393       7.611        
463.5     501.0     22.383       587.851       15.056       
464.5     505.0     22.472       584.331       12.462       
465.5     496.0     22.271       580.832       14.509       
466.5     512.0     22.627       577.355       8.342        
467.5     504.0     22.450       573.900       9.694        
468.5     503.0     22.428       570.465       9.049        
469.5     453.0     21.284       567.053       28.715       
470.5     493.0     22.204       563.661       10.128       
471.5     461.0     21.471       560.290       21.385       
472.5     500.0     22.361       556.940       6.484        
473.5     491.0     22.159       553.611       7.984        
474.5     486.0     22.045       550.303       8.508        
475.5     497.0     22.293       547.014       5.033        
476.5     459.0     21.424       543.747       15.647       
477.5     492.0     22.181       540.499       4.781        
478.5     424.0     20.591       537.272       30.261       
479.5     464.0     21.541       534.064       10.580       
480.5     444.0     21.071       530.877       16.999       
481.5     458.0     21.401       527.709       10.610       
482.5     455.0     21.331       524.560       10.634       
483.5     421.0     20.518       521.432       23.958       
484.5     462.0     21.494       518.322       6.866        
485.5     444.0     21.071       515.232       11.428       
486.5     476.0     21.817       512.161       2.747        
487.5     450.0     21.213       509.109       7.764        
488.5     476.0     21.817       506.075       1.900        
489.5     434.0     20.833       503.061       10.989       
490.5     456.0     21.354       500.065       4.258        
491.5     481.0     21.932       497.088       0.538        
492.5     447.0     21.142       494.129       4.969        
493.5     456.0     21.354       491.188       2.715        
494.5     479.0     21.886       488.266       0.179        
495.5     462.0     21.494       485.362       1.181        
496.5     457.0     21.378       482.475       1.420        
497.5     465.0     21.564       479.607       0.459        
498.5     426.0     20.640       476.756       6.047        
499.5     464.0     21.541       473.923       0.212        

Gradi di liberta = 217
Chi-quadro = 1298.6331343031268
p-value = 2.079849296040612e-153

