Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
430.5     239.0     15.460       265.160       2.863        
431.5     248.0     15.748       263.514       0.971        
432.5     246.0     15.684       261.878       1.025        
433.5     235.0     15.330       260.253       2.714        
434.5     251.0     15.843       258.638       0.232        
435.5     215.0     14.663       257.034       8.218        
436.5     233.0     15.264       255.439       2.161        
437.5     225.0     15.000       253.855       3.700        
438.5     255.0     15.969       252.281       0.029        
439.5     216.0     14.697       250.717       5.580        
440.5     251.0     15.843       249.163       0.013        
441.5     225.0     15.000       247.619       2.274        
442.5     235.0     15.330       246.084       0.523        
443.5     224.0     14.967       244.560       1.887        
444.5     216.0     14.697       243.045       3.386        
445.5     228.0     15.100       241.540       0.804        
446.5     235.0     15.330       240.044       0.108        
447.5     227.0     15.067       238.558       0.589        
448.5     198.0     14.071       237.082       7.714        
449.5     210.0     14.491       235.615       3.124        
450.5     191.0     13.820       234.157       9.751        
451.5     183.0     13.528       232.708       13.502       
452.5     183.0     13.528       231.269       12.732       
453.5     193.0     13.892       229.839       7.032        
454.5     206.0     14.353       228.418       2.440        
455.5     245.0     15.652       227.006       1.322        
456.5     208.0     14.422       225.604       1.490        
457.5     179.0     13.379       224.210       11.419       
458.5     181.0     13.454       222.825       9.665        
459.5     186.0     13.638       221.449       6.756        
460.5     220.0     14.832       220.081       0.000        
461.5     207.0     14.387       218.723       0.664        
462.5     175.0     13.229       217.373       10.260       
463.5     201.0     14.177       216.031       1.124        
464.5     178.0     13.342       214.698       7.566        
465.5     187.0     13.675       213.374       3.720        
466.5     193.0     13.892       212.058       1.882        
467.5     174.0     13.191       210.751       7.762        
468.5     195.0     13.964       209.452       1.071        
469.5     174.0     13.191       208.161       6.707        
470.5     164.0     12.806       206.878       11.211       
471.5     192.0     13.856       205.604       0.964        
472.5     198.0     14.071       204.337       0.203        
473.5     178.0     13.342       203.079       3.534        
474.5     170.0     13.038       201.829       5.959        
475.5     177.0     13.304       200.587       3.143        
476.5     177.0     13.304       199.353       2.823        
477.5     203.0     14.248       198.126       0.117        
478.5     191.0     13.820       196.907       0.183        
479.5     173.0     13.153       195.697       2.978        
480.5     193.0     13.892       194.494       0.012        
481.5     187.0     13.675       193.298       0.212        
482.5     173.0     13.153       192.110       2.111        
483.5     196.0     14.000       190.930       0.131        
484.5     179.0     13.379       189.757       0.646        
485.5     151.0     12.288       188.592       9.359        
486.5     186.0     13.638       187.434       0.011        
487.5     172.0     13.115       186.284       1.186        
488.5     168.0     12.961       185.141       1.749        
489.5     180.0     13.416       184.005       0.089        
490.5     149.0     12.207       182.877       7.702        
491.5     182.0     13.491       181.755       0.000        
492.5     172.0     13.115       180.641       0.434        
493.5     173.0     13.153       179.534       0.247        
494.5     147.0     12.124       178.434       6.722        
495.5     167.0     12.923       177.341       0.640        
496.5     157.0     12.530       176.255       2.362        
497.5     193.0     13.892       175.176       1.646        
498.5     163.0     12.767       174.104       0.756        
499.5     172.0     13.115       173.039       0.006        

Gradi di liberta = 217
Chi-quadro = 606.520790479588
p-value = 1.495823026182043e-38

