Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
417.5     959.0     27.101       1128.633      39.178       
418.5     955.0     27.062       1122.009      38.086       
419.5     993.0     27.427       1115.426      19.924       
420.5     989.0     27.390       1108.882      19.157       
421.5     970.0     27.208       1102.377      23.671       
422.5     981.0     27.314       1095.911      17.699       
423.5     950.0     27.012       1089.484      26.664       
424.5     908.0     26.584       1083.096      43.382       
425.5     962.0     27.130       1076.746      17.888       
426.5     938.0     26.892       1070.434      24.252       
427.5     931.0     26.821       1064.160      24.648       
428.5     875.0     26.231       1057.924      48.630       
429.5     891.0     26.404       1051.725      37.053       
430.5     885.0     26.340       1045.564      37.160       
431.5     948.0     26.992       1039.440      11.476       
432.5     908.0     26.584       1033.352      22.234       
433.5     912.0     26.626       1027.301      18.752       
434.5     906.0     26.563       1021.286      18.836       
435.5     888.0     26.372       1015.307      23.303       
436.5     960.0     27.111       1009.365      3.315        
437.5     868.0     26.155       1003.458      26.823       
438.5     884.0     26.329       997.586       18.612       
439.5     870.0     26.177       991.750       21.633       
440.5     832.0     25.749       985.949       35.747       
441.5     840.0     25.841       980.183       29.430       
442.5     797.0     25.336       974.451       49.054       
443.5     842.0     25.863       968.754       24.019       
444.5     865.0     26.121       963.091       14.101       
445.5     850.0     25.954       957.462       17.144       
446.5     812.0     25.515       951.867       30.049       
447.5     851.0     25.965       946.305       13.472       
448.5     854.0     25.999       940.777       11.140       
449.5     799.0     25.360       935.282       28.878       
450.5     871.0     26.187       929.820       5.045        
451.5     877.0     26.253       924.391       3.259        
452.5     851.0     25.965       918.994       6.857        
453.5     871.0     26.187       913.630       2.650        
454.5     829.0     25.714       908.298       9.510        
455.5     854.0     25.999       902.999       3.552        
456.5     821.0     25.621       897.731       8.969        
457.5     818.0     25.586       892.494       8.477        
458.5     820.0     25.609       887.289       6.904        
459.5     799.0     25.360       882.116       10.741       
460.5     779.0     25.117       876.973       15.216       
461.5     830.0     25.726       871.862       2.648        
462.5     806.0     25.444       866.781       5.706        
463.5     752.0     24.778       861.730       19.612       
464.5     803.0     25.408       856.710       4.469        
465.5     808.0     25.468       851.720       2.947        
466.5     766.0     24.955       846.760       10.473       
467.5     748.0     24.727       841.830       14.400       
468.5     721.0     24.374       836.930       22.623       
469.5     731.0     24.506       832.059       17.006       
470.5     711.0     24.240       827.217       22.986       
471.5     711.0     24.240       822.404       21.122       
472.5     723.0     24.400       817.620       15.037       
473.5     752.0     24.778       812.865       6.034        
474.5     678.0     23.786       808.139       29.935       
475.5     701.0     24.105       803.441       18.061       
476.5     694.0     24.009       798.771       19.044       
477.5     695.0     24.022       794.129       17.028       
478.5     676.0     23.758       789.515       22.829       
479.5     671.0     23.687       784.929       23.134       
480.5     700.0     24.091       780.370       11.130       
481.5     695.0     24.022       775.839       11.324       
482.5     665.0     23.602       771.335       20.299       
483.5     649.0     23.370       766.858       25.433       
484.5     647.0     23.341       762.408       24.447       
485.5     621.0     22.953       757.984       35.617       
486.5     629.0     23.074       753.588       29.154       
487.5     675.0     23.744       749.217       9.770        
488.5     647.0     23.341       744.873       17.583       
489.5     605.0     22.708       740.555       35.636       
490.5     622.0     22.968       736.263       24.749       
491.5     653.0     23.429       731.997       11.369       
492.5     645.0     23.312       727.756       12.602       
493.5     616.0     22.877       723.541       22.098       
494.5     620.0     22.938       719.351       18.760       
495.5     659.0     23.515       715.186       5.709        
496.5     620.0     22.938       711.047       15.755       
497.5     633.0     23.134       706.932       10.213       
498.5     586.0     22.409       702.842       27.186       
499.5     579.0     22.297       698.776       28.857       

Gradi di liberta = 217
Chi-quadro = 2612.6822240996776
p-value = 0.0

