****************************************************************************************************
SERIE 15
****************************************************************************************************

Test ipotesi linearità_____________________________________
Covarianza = 0.35337
Indice Pearson = 0.99983 +/- 0.00053
Gradi di Liberta' = 1225
	t = 1885.1822423447982
	p-value (due code) = 0.0

Parametri___________________________________________________
y = a + bx
a = -1.27240 +/- 0.00804
b = 27.19823 +/- 0.01445

Test bontà fit _____________________________________________
x         y         sy           y*            Chi-quadro   
0.72150   18.40000  0.30000      18.35114      0.02652      
0.72098   18.38000  0.30000      18.33700      0.02055      
0.72046   18.38000  0.30000      18.32287      0.03627      
0.72046   18.38000  0.30000      18.32287      0.03627      
0.72046   18.37000  0.30000      18.32287      0.02468      
0.72046   18.37000  0.30000      18.32287      0.02468      
0.71994   18.34000  0.30000      18.30876      0.01084      
0.71891   18.33000  0.30000      18.28061      0.02711      
0.71891   18.33000  0.30000      18.28061      0.02711      
0.71891   18.31000  0.30000      18.28061      0.00960      
0.71891   18.32000  0.30000      18.28061      0.01724      
0.71891   18.31000  0.30000      18.28061      0.00960      
0.71788   18.30000  0.30000      18.25253      0.02503      
0.71736   18.28000  0.30000      18.23853      0.01911      
0.71633   18.26000  0.30000      18.21057      0.02714      
0.71582   18.23000  0.30000      18.19663      0.01237      
0.71480   18.21000  0.30000      18.16880      0.01886      
0.71429   18.19000  0.30000      18.15491      0.01368      
0.71378   18.18000  0.30000      18.14104      0.01686      
0.71327   18.17000  0.30000      18.12720      0.02036      
0.71225   18.14000  0.30000      18.09956      0.01817      
0.71174   18.13000  0.30000      18.08577      0.02173      
0.71124   18.11000  0.30000      18.07200      0.01604      
0.71023   18.08000  0.30000      18.04453      0.01398      
0.70922   18.06000  0.30000      18.01713      0.02042      
0.70872   18.03000  0.30000      18.00346      0.00783      
0.70771   18.02000  0.30000      17.97617      0.02134      
0.70671   18.00000  0.30000      17.94897      0.02894      
0.70621   17.99000  0.30000      17.93539      0.03313      
0.70522   17.97000  0.30000      17.90830      0.04230      
0.70472   17.95000  0.30000      17.89478      0.03388      
0.70423   17.94000  0.30000      17.88129      0.03830      
0.70373   17.93000  0.30000      17.86781      0.04298      
0.70373   17.92000  0.30000      17.86781      0.03027      
0.70323   17.91000  0.30000      17.85435      0.03442      
0.70323   17.91000  0.30000      17.85435      0.03442      
0.70274   17.88000  0.30000      17.84090      0.01698      
0.70225   17.89000  0.30000      17.82748      0.04343      
0.70225   17.88000  0.30000      17.82748      0.03065      
0.70126   17.86000  0.30000      17.80069      0.03908      
0.70077   17.84000  0.30000      17.78733      0.03083      
0.69979   17.81000  0.30000      17.76065      0.02706      
0.69930   17.82000  0.30000      17.74734      0.05866      
0.69881   17.79000  0.30000      17.73405      0.03478      
0.69832   17.76000  0.30000      17.72078      0.01709      
0.69784   17.76000  0.30000      17.70753      0.03060      
0.69735   17.74000  0.30000      17.69429      0.02322      
0.69638   17.71000  0.30000      17.66787      0.01972      
0.69541   17.68000  0.30000      17.64153      0.01644      
0.69493   17.64000  0.30000      17.62839      0.00150      
0.69396   17.64000  0.30000      17.60215      0.01591      
