Test Chi Quadro massimo_____________________________________________
   x       y       y*      sy      Chi     
34 883.00  15.03   14.61   0.75    0.31    
35 884.00  15.15   14.70   0.76    0.35    
36 885.00  15.14   14.81   0.76    0.19    
37 886.00  15.16   14.94   0.76    0.08    
38 887.00  15.21   15.08   0.76    0.03    
39 888.00  15.41   15.24   0.77    0.05    
40 889.00  15.43   15.41   0.77    0.00    
41 890.00  15.69   15.60   0.78    0.01    
42 891.00  15.87   15.80   0.79    0.01    
43 892.00  16.28   16.02   0.81    0.11    
44 893.00  16.53   16.25   0.83    0.12    
45 894.00  16.78   16.50   0.84    0.11    
46 895.00  16.49   16.76   0.82    0.11    
47 896.00  16.64   17.04   0.83    0.23    
48 897.00  17.05   17.34   0.85    0.11    
49 898.00  17.65   17.65   0.88    0.00    
50 899.00  17.61   17.97   0.88    0.17    
51 900.00  17.67   18.31   0.88    0.53    
Chi Quadro = 5.94
Gradi Libertà = 48
Chi Quadro Ridotto = 0.12

Test Chi Quadro minimo1sx_____________________________________________
   x       y       y*      sy      Chi     
1  125.00  5.07    5.48    0.25    2.58    
2  126.00  4.87    5.29    0.24    3.02    
3  127.00  4.80    5.10    0.24    1.57    
4  128.00  4.15    4.92    0.21    14.07   
5  129.00  4.69    4.74    0.23    0.06    
6  130.00  4.16    4.57    0.21    3.89    
7  131.00  4.37    4.40    0.22    0.02    
8  132.00  3.74    4.23    0.19    7.03    
9  133.00  4.22    4.07    0.21    0.48    
10 134.00  3.56    3.91    0.18    3.99    
11 135.00  3.77    3.76    0.19    0.00    
12 136.00  3.17    3.61    0.16    7.65    
13 137.00  3.57    3.46    0.18    0.39    
14 138.00  3.26    3.32    0.16    0.15    
15 139.00  3.49    3.18    0.17    3.19    
16 140.00  2.62    3.04    0.13    10.42   
17 141.00  3.02    2.91    0.15    0.54    
18 142.00  2.75    2.79    0.14    0.08    
19 143.00  3.21    2.66    0.16    11.49   
20 144.00  2.58    2.54    0.13    0.10    
21 145.00  2.96    2.43    0.15    12.95   
22 146.00  2.28    2.32    0.11    0.09    
23 147.00  2.46    2.21    0.12    4.20    
24 148.00  2.03    2.10    0.10    0.47    
25 149.00  2.23    2.00    0.11    4.25    
26 150.00  1.76    1.91    0.09    2.78    
27 151.00  1.75    1.82    0.09    0.61    
28 152.00  1.35    1.73    0.07    30.90   
29 153.00  1.61    1.64    0.08    0.16    
30 154.00  1.39    1.56    0.07    6.62    
31 155.00  1.57    1.49    0.08    1.24    
32 156.00  1.33    1.41    0.07    1.44    
33 157.00  1.42    1.35    0.07    1.22    
34 158.00  1.18    1.28    0.06    2.66    
35 159.00  1.23    1.22    0.06    0.02    
36 160.00  1.05    1.16    0.05    5.03    
37 161.00  1.39    1.11    0.07    16.40   
38 162.00  1.34    1.06    0.07    17.69   
39 163.00  1.32    1.02    0.07    21.69   
40 164.00  1.01    0.97    0.05    0.56    
41 165.00  1.23    0.94    0.06    22.27   
42 166.00  0.98    0.90    0.05    2.56    
43 167.00  0.99    0.87    0.05    5.44    
44 168.00  0.90    0.85    0.05    1.44    
45 169.00  1.05    0.83    0.05    17.71   
46 170.00  0.85    0.81    0.04    0.92    
47 171.00  0.74    0.79    0.04    2.07    
48 172.00  0.74    0.78    0.04    1.51    
49 173.00  0.79    0.78    0.04    0.17    
50 174.00  0.78    0.77    0.04    0.04    
51 175.00  0.86    0.78    0.04    4.17    
52 176.00  0.93    0.78    0.05    10.28   
53 177.00  1.02    0.79    0.05    20.17   
54 178.00  0.85    0.80    0.04    1.06    
55 179.00  0.81    0.82    0.04    0.07    
56 180.00  0.79    0.84    0.04    2.12    
57 181.00  0.97    0.87    0.05    4.34    
58 182.00  0.84    0.90    0.04    1.54    
59 183.00  0.87    0.93    0.04    1.76    
60 184.00  0.77    0.97    0.04    24.48   
61 185.00  1.03    1.01    0.05    0.17    
62 186.00  0.98    1.05    0.05    2.10    
63 187.00  1.06    1.10    0.05    0.60    
64 188.00  0.80    1.15    0.04    76.69   
65 189.00  1.10    1.21    0.05    4.25    
66 190.00  1.19    1.27    0.06    1.81    
67 191.00  1.55    1.33    0.08    7.87    
68 192.00  1.38    1.40    0.07    0.11    
69 193.00  1.38    1.47    0.07    1.98    
70 194.00  1.14    1.55    0.06    51.25   
71 195.00  1.53    1.63    0.08    1.76    
72 196.00  1.50    1.71    0.07    8.29    
73 197.00  1.84    1.80    0.09    0.16    
74 198.00  1.76    1.89    0.09    2.15    
75 199.00  2.14    1.99    0.11    2.18    
76 200.00  1.97    2.08    0.10    1.26    
77 201.00  2.40    2.19    0.12    3.14    
78 202.00  2.22    2.29    0.11    0.43    
79 203.00  2.76    2.41    0.14    6.50    
80 204.00  2.61    2.52    0.13    0.43    
81 205.00  2.85    2.64    0.14    2.14    
82 206.00  2.54    2.76    0.13    3.13    
83 207.00  3.04    2.89    0.15    0.96    
84 208.00  3.13    3.02    0.16    0.50    
85 209.00  3.80    3.15    0.19    11.51   
86 210.00  3.59    3.29    0.18    2.72    
87 211.00  4.02    3.43    0.20    8.40    
88 212.00  3.90    3.58    0.20    2.73    
89 213.00  4.30    3.73    0.22    7.11    
90 214.00  4.09    3.88    0.20    1.05    
91 215.00  4.94    4.04    0.25    13.21   
92 216.00  4.64    4.20    0.23    3.58    
93 217.00  5.11    4.37    0.26    8.41    
94 218.00  4.88    4.54    0.24    1.93    
95 219.00  5.28    4.71    0.26    4.71    
96 220.00  5.12    4.89    0.26    0.84    
97 221.00  5.70    5.07    0.28    4.87    
98 222.00  5.35    5.25    0.27    0.14    
99 223.00  5.92    5.44    0.30    2.58    
100224.00  5.86    5.64    0.29    0.58    
101225.00  6.43    5.83    0.32    3.40    
Chi Quadro = 583.50
Gradi Libertà = 98
Chi Quadro Ridotto = 5.95

Test Chi Quadro minimo2dx_____________________________________________
   x       y       y*      sy      Chi     
1  1000.00 13.23   14.19   0.66    2.10    
2  1001.00 12.95   13.75   0.65    1.52    
3  1002.00 12.81   13.32   0.64    0.65    
4  1003.00 12.13   12.90   0.61    1.59    
5  1004.00 11.78   12.48   0.59    1.43    
6  1005.00 11.61   12.08   0.58    0.64    
7  1006.00 11.73   11.68   0.59    0.01    
8  1007.00 11.52   11.29   0.58    0.16    
9  1008.00 11.03   10.91   0.55    0.05    
10 1009.00 10.51   10.53   0.53    0.00    
11 1010.00 10.08   10.17   0.50    0.03    
12 1011.00 9.81    9.81    0.49    0.00    
13 1012.00 9.69    9.47    0.48    0.21    
14 1013.00 9.49    9.13    0.47    0.60    
15 1014.00 9.28    8.80    0.46    1.08    
16 1015.00 8.82    8.47    0.44    0.61    
17 1016.00 8.30    8.16    0.42    0.12    
18 1017.00 8.29    7.85    0.41    1.13    
19 1018.00 8.06    7.56    0.40    1.57    
20 1019.00 8.00    7.27    0.40    3.32    
21 1020.00 7.39    6.99    0.37    1.19    
22 1021.00 7.17    6.72    0.36    1.62    
23 1022.00 6.58    6.45    0.33    0.16    
24 1023.00 6.44    6.20    0.32    0.57    
25 1024.00 6.10    5.95    0.31    0.24    
26 1025.00 5.91    5.71    0.30    0.44    
27 1026.00 5.57    5.48    0.28    0.09    
28 1027.00 5.57    5.26    0.28    1.24    
29 1028.00 5.18    5.05    0.26    0.26    
30 1029.00 5.11    4.84    0.26    1.08    
31 1030.00 4.76    4.65    0.24    0.21    
32 1031.00 4.76    4.46    0.24    1.54    
33 1032.00 4.30    4.28    0.21    0.01    
34 1033.00 4.72    4.11    0.24    6.59    
