1.108	23.29	25.01
1.108	23.45	25.01
1.108	23.23	25.01
1.108	23.25	25.02
1.108	23.30	25.02
1.108	23.20	25.02
1.108	23.26	25.02
1.108	23.31	25.03
1.108	23.21	25.03
1.108	23.29	25.03
1.108	23.25	25.04
1.108	23.23	25.04
1.108	23.30	25.04
1.108	23.20	25.04
1.108	23.25	25.05
1.108	23.29	25.05
1.108	23.21	25.05
1.108	23.28	25.06
1.108	23.25	25.06
1.108	23.23	25.06
1.108	23.31	25.07
1.108	23.22	25.07
1.108	23.25	25.07
1.108	23.29	25.07
1.108	23.21	25.08
1.108	23.27	25.08
1.108	23.27	25.08
1.108	23.23	25.08
1.108	23.29	25.09
1.108	23.22	25.09
1.108	23.24	25.09
1.109	23.29	25.09
1.109	23.22	25.10
1.109	23.24	25.10
1.109	23.30	25.10
1.109	23.31	25.10
1.109	23.30	25.11
1.109	23.31	25.11
1.109	23.29	25.11
1.109	23.31	25.11
1.109	23.30	25.12
1.110	23.35	25.12
1.110	23.19	25.12
1.111	23.16	25.12
1.111	23.26	25.12
1.112	23.24	25.13
1.112	23.24	25.13
1.112	23.30	25.13
1.113	23.22	25.13
1.113	23.27	25.14
1.113	23.29	25.14
1.113	23.21	25.14
1.113	23.29	25.14
1.113	23.24	25.14
1.114	23.23	25.15
1.114	23.31	25.15
1.114	23.22	25.15
1.115	23.23	25.15
1.115	23.29	25.15
1.115	23.21	25.16
1.115	23.29	25.16
1.115	23.24	25.16
1.116	23.22	25.16
1.116	23.29	25.16
1.116	23.23	25.16
1.117	23.26	25.16
1.117	23.29	25.17
1.117	23.21	25.17
1.117	23.28	25.17
1.118	23.26	25.17
1.118	23.22	25.17
1.118	23.29	25.18
1.119	23.22	25.18
1.119	23.24	25.18
1.119	23.30	25.18
1.119	23.19	25.18
1.119	23.27	25.18
1.120	23.26	25.18
1.120	23.23	25.19
1.120	23.28	25.19
1.120	23.22	25.19
1.121	23.24	25.19
1.121	23.29	25.19
1.121	23.20	25.19
1.121	23.24	25.20
1.121	23.28	25.20
1.121	23.22	25.20
1.122	23.28	25.20
1.122	23.22	25.20
1.122	23.23	25.20
1.122	23.30	25.20
1.122	23.22	25.20
1.123	23.26	25.20
1.123	23.30	25.20
1.123	23.22	25.21
1.123	23.27	25.21
1.123	23.25	25.21
1.123	23.22	25.21
1.123	23.29	25.21
1.123	23.21	25.21
1.123	23.25	25.21
1.124	23.30	25.21
1.124	23.21	25.22
1.124	23.27	25.22
1.124	23.25	25.22
1.125	23.22	25.22
1.125	23.29	25.22
1.125	23.21	25.22
1.125	23.23	25.22
1.125	23.29	25.22
1.125	23.21	25.23
1.126	23.26	25.23
1.126	23.27	25.23
1.126	23.23	25.23
1.126	23.28	25.23
1.126	23.21	25.23
1.127	23.24	25.23
1.128	23.28	25.23
1.128	23.21	25.23
1.128	23.26	25.24
1.128	23.27	25.24
1.129	23.20	25.24
1.129	23.28	25.24
1.129	23.22	25.24
