f(kHz),V(V),phi(°),|V_in|,
32.0,0.220,0,7.696584248527648,0.014545229072403515
37.0,0.260,0,7.638902053701466,0.025113520679440553
42.0,0.320,0,7.549452230855465,0.04317927319352997
47.0,0.380,0,7.404842926995825,0.07461554809424698
52.0,0.480,-81.6,7.158390313120163,0.1309568710760463
57.0,0.600,-75.8,6.712321916284991,0.2350768144696455
62.0,0.744,-67.0,5.864109072680518,0.4273096437933205
62.5,0.760,-65.0,5.745005447003449,0.4531719302722264
63.0,0.776,-64.5,5.618201453215895,0.4803421567020271
63.5,0.800,-63.0,5.483374315973358,0.5088043898864221
64.0,0.808,-60.0,5.340249114666585,0.5385209511500294
64.5,0.832,-58.3,5.1886192718838124,0.5694283918324428
65.0,0.840,-58.0,5.028371732918429,0.6014333688917413
65.5,0.856,-56.0,4.859517610270437,0.6344086248307288
66.0,0.864,-52.4,4.682229166354356,0.6681893446965951
66.5,0.880,-50.3,4.496884131395283,0.7025702317332024
67.0,0.896,-48.2,4.304118507724879,0.7373037031198628
67.5,0.912,-45.6,4.104889184342771,0.7720996455796885
68.0,0.920,-43.3,3.900547809226416,0.8066271725096656
68.5,0.928,-39.9,3.6929272360575567,0.8405187742091142
69.0,0.948,-36.3,3.484440967855328,0.8733771380171976
69.5,0.952,-32.0,3.278193253793,0.9047847299037838
70.0,0.960,-27.9,3.0780907185194395,0.934315978869152
70.5,0.960,-23.3,2.888932129093122,0.9615516107241857
71.0,0.976,-18.8,2.7164271374465594,0.9860943741597671
71.5,0.976,-12.8,2.567057759094592,1.0075851370901872
72.0,0.976,-7.8,2.4476645514719486,1.025718156538837
72.1,0.976,-7.8,2.427966817572192,1.0289194885072597
72.2,0.976,-6.7,2.409775888642917,1.0319751373536727
72.3,0.976,-4.7,2.3931352231578655,1.0348836686521612
72.4,0.976,-4.2,2.3780850339891706,1.0376437763406992
72.5,0.976,-6.2,2.3646618957212766,1.0402542846680625
72.6,0.976,-5.2,2.3528983700521793,1.0427141498548433
72.7,0.976,-3.7,2.342822657590375,1.0450224614636505
72.8,0.976,-3.1,2.3344582842890267,1.0471784434747538
72.9,0.976,-1.6,2.327823830366294,1.0491814550646872
73.0,0.976,2.6,2.322932708832796,1.0510309910864941
73.1,0.976,4.2,2.3197929996951987,1.052726682251566
73.2,0.976,4.7,2.3184073445626643,1.0542682950142144
73.3,0.976,6.3,2.3187729048052295,1.0556557311613164
73.4,0.976,6.9,2.320881384672794,1.0568890271105753
73.5,0.976,8.5,2.324719118966172,1.0579683529220563
74.0,0.976,13.3,2.369016067679987,1.0610705543041614
74.5,0.976,18.2,2.451814062859953,1.060422886293613
75.0,0.976,23.2,2.5670647130649313,1.0561846758857325
75.5,0.976,23.3,2.7078815967779124,1.0485789320996668
76.0,0.960,27.3,2.8675236591678606,1.037879730913702
76.5,0.960,30.3,3.039981196502949,1.0243984487759628
77.0,0.960,33.7,3.2202115572639465,1.0084699044345047
77.5,0.944,40.1,3.404152460027628,0.9904393105711288
78.0,0.936,42.7,3.588626117957241,0.9706507117455089
78.5,0.928,45.7,3.7712057081795582,0.9494373364594061
79.0,0.912,46.7,3.950080788369363,0.9271140550158502
79.5,0.912,49.5,4.12393689364168,0.9039719362931388
80.0,0.896,51.2,4.291853623789872,0.8802747483695692
80.5,0.896,53.4,4.453220728072012,0.8562571523641461
81.0,0.880,56.0,4.607669973417902,0.8321242906460415
81.5,0.864,57.3,4.755020237360815,0.808052460263845
82.0,0.864,59.0,4.89523345669166,0.7841905792254377
82.5,0.848,58.8,5.0283794096298475,0.7606621868888223
83.0,0.840,60.4,5.154607662024743,0.737567761692129
83.5,0.832,60.7,5.2741253164657795,0.7149871833907288
84.0,0.824,63.1,5.387179457954662,0.6929822086077592
89.0,0.700,71.4,6.225069093578125,0.5094943092171185
94.0,0.620,71.2,6.706549404096001,0.38631049243805926
99.0,0.560,73.7,6.998317317260496,0.30422204047440266
104.0,0.500,75.2,7.185978820945728,0.24783441831489825
109.0,0.460,0,7.313217250006501,0.20764204414417906
114.0,0.420,0,7.4033815437993775,0.17797739173517968
119.0,0.380,0,7.469651676679117,0.15540155752631574
124.0,0.340,0,7.519859541435105,0.13776140136597154
