Test residui Ampiezza_____________________________________________
   x       y       y*      res     s_res   
1  1000.00 0.98    0.88    0.10    0.06    
2  2000.00 0.94    0.84    0.10    0.06    
3  3000.00 0.88    0.81    0.07    0.05    
4  4000.00 0.80    0.77    0.03    0.05    
5  6000.00 0.66    0.70    -0.04   0.04    
6  10000.000.48    0.57    -0.09   0.03    
7  12000.000.41    0.50    -0.08   0.03    
8  20000.000.27    0.22    0.05    0.02    

Somma residui = 0.56
