x,sx,y,sy
32000.0,0.0,0.02858410859883537,0.007427537721593098
37000.0,0.0,0.03403630497841189,0.007668091676824722
42000.0,0.0,0.04238718124370982,0.008045786694709357
47000.0,0.0,0.051317766459925106,0.008503663686129948
52000.0,0.0,0.06705418103847148,0.009331998251516992
57000.0,0.0,0.08938784633441368,0.010669356361790203
62000.0,0.0,0.12687349276399346,0.013265995218411241
62500.0,0.0,0.13228882148343482,0.013667145995684875
63000.0,0.0,0.13812249462073178,0.01410660931378234
63500.0,0.0,0.14589556610599388,0.01465252415057908
64000.0,0.0,0.151303802996922,0.015124014673573249
64500.0,0.0,0.16035094432703073,0.015783263779333687
65000.0,0.0,0.16705208855202722,0.016376219245269004
65500.0,0.0,0.17614917130681262,0.017114370538683452
66000.0,0.0,0.1845274909243115,0.01786770892926681
66500.0,0.0,0.19569105502546175,0.01879872406352751
67000.0,0.0,0.20817270676722563,0.019852091191655243
67500.0,0.0,0.22217408535134894,0.02104729698350671
68000.0,0.0,0.2358643054762251,0.022311314511488663
68500.0,0.0,0.2512911684094543,0.02374856779531586
69000.0,0.0,0.27206659798386357,0.025541271152486906
69500.0,0.0,0.2904038677092933,0.02733113571127736
70000.0,0.0,0.3118816460555002,0.02938343228314815
70500.0,0.0,0.3323027184793566,0.031482358237280836
71000.0,0.0,0.35929548285894375,0.03397466099141466
71500.0,0.0,0.38020180751376537,0.03616169150015056
72000.0,0.0,0.39874745067213735,0.038124050564310744
72100.0,0.0,0.40198242946991186,0.03846852407954169
72200.0,0.0,0.4050169165522034,0.038792239219965906
72300.0,0.0,0.4078332016325086,0.03909318985044589
72400.0,0.0,0.4104142560296877,0.03936943826391664
72500.0,0.0,0.41274399598776357,0.03961914647105548
72600.0,0.0,0.4148075464807922,0.03984060779632763
72700.0,0.0,0.41659149779771604,0.04003227782646658
72800.0,0.0,0.4180841467883615,0.04019280369396173
72900.0,0.0,0.4192757146258881,0.040321050664568835
73000.0,0.0,0.4201585333440032,0.04041612504042642
73100.0,0.0,0.42072719424889987,0.04047739249106092
73200.0,0.0,0.4209786525603459,0.04050449108054275
73300.0,0.0,0.4209122842419885,0.04049733846249073
73400.0,0.0,0.42052989284396364,0.040456132953185175
73500.0,0.0,0.4198356661832066,0.04038134845096567
74000.0,0.0,0.4119853863869363,0.039537799202151315
74500.0,0.0,0.39807260052237853,0.038052271590498614
75000.0,0.0,0.38020077757787046,0.036161583105471594
75500.0,0.0,0.3604293485953503,0.03409260079343653
76000.0,0.0,0.33478363706982855,0.03173902346852419
76500.0,0.0,0.3157914269681466,0.02978340280445071
77000.0,0.0,0.2981170593697466,0.027982339742686407
77500.0,0.0,0.27730837883575243,0.026132377440337827
78000.0,0.0,0.26082405055135716,0.024590600525575056
78500.0,0.0,0.24607514726317212,0.023223842279525928
79000.0,0.0,0.2308813537903572,0.021921462382382077
79500.0,0.0,0.22114790393764974,0.020944546563406767
80000.0,0.0,0.20876760452254137,0.019911848237058664
80500.0,0.0,0.2012026923237457,0.019153383256671673
81000.0,0.0,0.19098590069966076,0.018324934876796165
81500.0,0.0,0.1817026967017804,0.01758172758416247
82000.0,0.0,0.17649822171789048,0.01705594763125843
82500.0,0.0,0.1686428033604615,0.01644571946934161
83000.0,0.0,0.16296099627300167,0.01595903850892871
83500.0,0.0,0.15775127629267777,0.0155174716773338
84000.0,0.0,0.15295573619387948,0.015115410642231814
89000.0,0.0,0.1124485510887149,0.012180929864735682
94000.0,0.0,0.09244694441844226,0.010798997654391034
99000.0,0.0,0.08001923528372004,0.009997218156617747
104000.0,0.0,0.06957994345079302,0.009403824819133823
109000.0,0.0,0.06289981334816645,0.00902638484925532
114000.0,0.0,0.0567308327303172,0.008708880390199004
119000.0,0.0,0.05087251942234362,0.00842922304105271
124000.0,0.0,0.045213610457292365,0.008175163492915045
