f(Hz)	Vin(V)	Vout(V)	f.s.(V)	dT(us)	f.s.(us)
1000	7.84	7.68	1	30	250
2000	7.72	7.28	1	30	250
3000	7.64	6.72	1	30	250
4000	7.56	6.08	1	30	250
5000	7.56	5.52	1	20	250
6000	7.52	5	1	30	250
7000	7.48	4.6	1	20	250
8000	7.48	4.2	1	20	250
10000	7.36	3.52	1	16	25
12000	7.36	3.04	1	15	25
20000	7.36	1.96	1	11	25
25000	7.36	1.6	1	9	25
30000	7.36	1.36	1	7	25
800	7.8	7.72	1	20	500
600	7.8	7.72	1	40	500
400	7.8	7.8	1	20	500
200	7.84	7.8	1	20	500
150	7.84	7.84	1	20	500
100	7.72	7.72	1	20	500
