x,sx,y,sy
1000.0,0.0,1.0421006944444444,0.12641314316352648
2000.0,0.0,1.124532061345248,0.1378706131287352
3000.0,0.0,1.2925524376417232,0.16083761897768795
4000.0,0.0,1.5460959141274235,0.19620136084966966
5000.0,0.0,1.875708884688091,0.2426492231000657
6000.0,0.0,2.262016,0.29922652678711764
7000.0,0.0,2.6441587901701333,0.35702239940847313
8000.0,0.0,3.1717913832199542,0.43841150007212487
10000.0,0.0,4.371900826446281,0.6372452818485315
12000.0,0.0,5.861495844875346,0.8970632631722573
20000.0,0.0,14.100791336942944,2.5945654263880145
25000.0,0.0,21.16,4.327429065854229
30000.0,0.0,29.287197231833904,6.579696400957856
35000.0,0.0,40.256837098692046,9.992738120895392
800.0,0.0,1.0208327740342023,0.1238298032678099
600.0,0.0,1.0208327740342023,0.1238298032678099
400.0,0.0,1.0,0.12111469995708044
200.0,0.0,1.0102827087442472,0.12226666684670096
150.0,0.0,1.0,0.12092969033353608
100.0,0.0,1.0,0.12149047079868351
