Test residui Sfasamento_____________________________________________
   x       y       y*      res     s_res   
1  1000.00 0.19    0.29    -0.10   0.02    
2  2000.00 0.38    0.36    0.02    0.03    
3  3000.00 0.57    0.43    0.14    0.05    
4  4000.00 0.75    0.50    0.25    0.06    
5  6000.00 1.13    0.64    0.49    0.09    
6  10000.001.01    0.93    0.07    0.02    
7  12000.001.13    1.07    0.06    0.02    
8  20000.001.38    1.65    -0.26   0.03    

Somma residui = 1.39
