Test residui Phi_____________________________________________
   x       y       y*      res     s_res   
1  1000.00 0.19    0.20    -0.01   0.02    
2  2000.00 0.38    0.35    0.03    0.03    
3  3000.00 0.57    0.49    0.07    0.05    
4  4000.00 0.75    0.64    0.11    0.06    
5  5000.00 0.63    0.78    -0.16   0.08    
6  6000.00 1.13    0.93    0.20    0.09    
7  7000.00 0.88    1.08    -0.20   0.11    
8  8000.00 1.01    1.22    -0.22   0.13    

Somma residui = 1.00
