Test residui Fit Lineare A_____________________________________________
   x       y       y*      res     s_res   
1  1000.00 0.98    0.99    -0.01   0.06    
2  2000.00 0.94    0.93    0.01    0.06    
3  3000.00 0.88    0.87    0.01    0.05    
4  4000.00 0.80    0.80    0.00    0.05    
5  5000.00 0.73    0.74    -0.01   0.05    
6  6000.00 0.66    0.68    -0.01   0.04    
7  7000.00 0.61    0.62    -0.00   0.04    
8  8000.00 0.56    0.55    0.01    0.04    

Somma residui = 0.07
