angolo,intensita
-50,19623926.000
-40,21686280.000
-30,23571688.000
-20,25074995.000
-10,26287885.000
-6,26501538.000
-4,26658118.000
-2,26736620.000
0,26710127.000
+2,26909869.000
+4,26916828.000
+6,26937733.000
+10,26706822.000
+20,26146012.000
+30,25010449.000
+40,23547706.000
+50,21775731.000
