pixel,grigio
456,21.2011
457,20.9264
458,21.0900
459,21.0563
460,21.2700
461,21.1487
462,21.1346
463,21.0203
464,20.8435
465,20.7066
466,20.7066
467,20.7042
468,20.6933
469,20.5532
470,20.4859
471,20.4147
472,20.3114
473,20.3529
474,20.4531
475,20.4108
476,20.5250
477,20.4797
478,20.1995
479,19.9640
480,19.8685
481,19.8850
482,19.9562
483,19.8967
484,19.6667
485,19.4930
486,19.2512
487,19.1549
488,18.8756
489,18.9280
490,18.9249
491,18.7105
492,18.6643
493,18.3975
494,17.9789
495,17.6017
496,17.5290
497,17.2606
498,17.2426
499,17.1761
500,17.2653
501,16.8419
502,16.7113
503,16.4718
504,16.4710
505,16.2199
506,16.0415
507,15.6322
508,15.5579
509,15.0970
510,14.8858
511,14.8130
512,15.0102
513,14.7089
514,14.5814
515,14.4280
516,14.1189
517,13.9851
518,13.9014
519,13.8067
520,13.6244
521,13.8975
522,13.8803
523,13.8693
524,13.6917
525,13.5000
526,13.4640
527,13.6972
528,13.8333
529,14.0070
530,14.1268
531,14.3161
532,14.5775
533,14.6620
534,14.7903
535,15.0923
536,15.4053
537,15.8279
538,16.0587
539,16.1776
540,16.4366
541,16.3200
542,16.5962
543,16.6933
544,17.3905
545,17.6776
546,18.2387
547,18.6541
548,19.2418
549,19.7887
550,20.3224
551,21.0712
552,21.5274
553,21.8161
554,22.3764
555,22.7050
556,23.3983
557,23.7269
558,24.3701
559,24.6948
560,25.4922
561,25.8091
562,26.5790
563,27.2097
564,27.8991
565,28.4382
566,28.9546
567,29.6283
568,30.3106
569,30.7817
570,31.4687
571,31.6557
572,32.4311
573,33.0258
574,33.9358
575,34.3873
576,34.9640
577,35.2606
578,35.8818
579,36.5297
580,37.4100
581,38.0595
582,38.7387
583,39.0556
584,39.7426
585,40.3161
586,41.2715
587,42.1408
588,42.7997
589,43.3451
590,44.0250
591,44.6385
592,45.3701
593,45.6761
594,46.4343
595,47.1956
596,47.9687
597,48.6275
598,49.1393
599,49.5023
600,50.1878
601,50.6080
602,51.4124
