angolo,intensita
0,16870527.000
15,16879484.000
-15,15666514.000
30,15748293.000
-30,13193350.000
45,13653861.000
60,10725857.000
75,7156797.000
90,3500357.000
105,3069785.000
120,6429735.000
135,9987604.000
150,13192447.000
