angolo,intensita
+2,18465150.000
+4,18468954.000
+6,18419504.000
+10,18267126.000
+20,17299991.000
+30,15757036.000
+40,13699981.000
+50,11337794.000
0,18668682.000
-2,18558605.000
-4,18554509.000
-6,18429681.000
-10,18558834.000
-20,18046043.000
-30,16783695.000
-40,15025857.000
-50,12824460.000
