angolo,intensita
0,16418350.000
+2,16595538.000
+4,16598020.000
+6,16607292.000
+10,16424184.000
+20,15838616.000
+30,14710248.000
+40,13231874.000
+50,11417049.000
-2,16424218.000
-4,16338656.000
-6,16188422.000
-10,15994586.000
-20,14778821.000
-30,13291128.000
-40,11392175.000
-50,9256444.000
