0.5	0
1.5	0
2.5	29
3.5	364
4.5	1182
5.5	2018
6.5	3001
7.5	4227
8.5	4969
9.5	5324
10.5	5210
11.5	5041
12.5	4533
13.5	4279
14.5	3982
15.5	3702
16.5	3197
17.5	2849
18.5	2547
19.5	2323
20.5	2170
21.5	1992
22.5	1763
23.5	1713
24.5	1499
25.5	1302
26.5	1106
27.5	967
28.5	932
29.5	835
30.5	739
31.5	653
32.5	638
33.5	625
34.5	613
35.5	512
36.5	472
37.5	397
38.5	371
39.5	359
40.5	346
41.5	299
42.5	263
43.5	251
44.5	258
45.5	269
46.5	223
47.5	242
48.5	240
49.5	231
50.5	218
51.5	194
52.5	211
53.5	159
54.5	185
55.5	205
56.5	208
57.5	216
58.5	209
59.5	198
60.5	152
61.5	124
62.5	130
63.5	107
64.5	89
65.5	113
66.5	103
67.5	104
68.5	82
69.5	94
70.5	97
71.5	95
72.5	95
73.5	89
74.5	94
75.5	61
76.5	76
77.5	86
78.5	68
79.5	77
80.5	72
81.5	72
82.5	76
83.5	85
84.5	80
85.5	94
86.5	90
87.5	73
88.5	58
89.5	73
90.5	83
91.5	78
92.5	60
93.5	47
94.5	58
95.5	42
96.5	47
97.5	44
98.5	56
99.5	51
100.5	42
101.5	37
102.5	47
103.5	50
104.5	60
105.5	50
106.5	67
107.5	45
108.5	42
109.5	52
110.5	43
111.5	47
112.5	44
113.5	46
114.5	46
115.5	46
116.5	34
117.5	22
118.5	28
119.5	23
120.5	26
121.5	23
122.5	32
123.5	18
124.5	20
125.5	23
126.5	23
127.5	21
128.5	23
129.5	35
130.5	39
131.5	42
132.5	71
133.5	80
134.5	76
135.5	74
136.5	61
137.5	46
138.5	30
139.5	18
140.5	11
141.5	12
142.5	12
143.5	17
144.5	18
145.5	8
146.5	10
147.5	9
148.5	12
149.5	11
150.5	10
151.5	8
152.5	4
153.5	9
154.5	9
155.5	8
156.5	14
157.5	12
158.5	14
159.5	15
160.5	15
161.5	11
162.5	13
163.5	18
164.5	14
165.5	11
166.5	5
167.5	10
168.5	3
169.5	4
170.5	5
171.5	7
172.5	5
173.5	4
174.5	6
175.5	4
176.5	3
177.5	3
178.5	4
179.5	3
180.5	6
181.5	2
182.5	6
183.5	9
184.5	4
185.5	4
186.5	3
187.5	2
188.5	5
189.5	6
190.5	9
191.5	8
192.5	8
193.5	3
194.5	9
195.5	9
196.5	7
197.5	9
198.5	8
199.5	7
200.5	4
201.5	6
202.5	8
203.5	6
204.5	5
205.5	2
206.5	4
207.5	5
208.5	6
209.5	6
210.5	3
211.5	4
212.5	4
213.5	7
214.5	4
215.5	1
216.5	3
217.5	5
218.5	2
219.5	1
220.5	0
221.5	2
222.5	1
223.5	1
224.5	0
225.5	3
226.5	1
227.5	6
228.5	4
229.5	6
230.5	8
231.5	11
232.5	11
233.5	17
234.5	6
235.5	8
236.5	2
237.5	0
238.5	0
239.5	0
240.5	0
241.5	0
242.5	0
243.5	0
244.5	0
245.5	1
246.5	1
247.5	1
248.5	0
249.5	0
250.5	0
251.5	0
252.5	0
253.5	0
254.5	1
255.5	0
256.5	1
257.5	0
258.5	1
259.5	0
260.5	1
261.5	0
262.5	1
263.5	0
264.5	0
265.5	0
266.5	0
267.5	0
268.5	0
269.5	0
270.5	1
271.5	1
272.5	1
