0.5	0
1.5	0
2.5	3
3.5	146
4.5	2126
5.5	11131
6.5	26195
7.5	38267
8.5	51386
9.5	56456
10.5	63600
11.5	82115
12.5	106152
13.5	146289
14.5	141920
15.5	137218
16.5	135852
17.5	96198
18.5	67367
19.5	55594
20.5	43848
21.5	40677
22.5	42854
23.5	46058
24.5	46219
25.5	43710
26.5	41515
27.5	42748
28.5	53114
29.5	61718
30.5	54891
31.5	41727
32.5	34264
33.5	30928
34.5	30648
35.5	34397
36.5	42607
37.5	47766
38.5	44773
39.5	36149
40.5	30201
41.5	28456
42.5	31995
43.5	42443
44.5	54855
45.5	59661
46.5	50417
47.5	35391
48.5	24006
49.5	21617
50.5	29003
51.5	46050
52.5	65352
53.5	73082
54.5	65761
55.5	45836
56.5	27189
57.5	16765
58.5	12912
59.5	11883
60.5	11404
61.5	10446
62.5	9651
63.5	8676
64.5	7948
65.5	7459
66.5	7128
67.5	7318
68.5	7223
69.5	7108
70.5	6979
71.5	6730
72.5	6619
73.5	6352
74.5	6216
75.5	5958
76.5	5722
77.5	5626
78.5	5460
79.5	5518
80.5	5384
81.5	5324
82.5	5338
83.5	5702
84.5	6796
85.5	9389
86.5	13654
87.5	19618
88.5	26100
89.5	30742
90.5	31433
91.5	27433
92.5	20632
93.5	13805
94.5	9015
95.5	6104
96.5	4811
97.5	4401
98.5	4297
99.5	4169
100.5	4103
101.5	3961
102.5	4027
103.5	3961
104.5	4039
105.5	3847
106.5	4069
107.5	4231
108.5	4444
109.5	4851
110.5	5255
111.5	5578
112.5	5663
113.5	5600
114.5	5434
115.5	4981
116.5	4675
117.5	4223
118.5	4007
119.5	3916
120.5	3621
121.5	3558
122.5	3480
123.5	3267
124.5	3146
125.5	3162
126.5	3058
127.5	2981
128.5	2946
129.5	2911
130.5	2902
131.5	2897
132.5	3122
133.5	3029
134.5	3220
135.5	3235
136.5	3236
137.5	3049
138.5	2837
139.5	2651
140.5	2520
141.5	2323
142.5	2374
143.5	2233
144.5	2148
145.5	2246
146.5	2131
147.5	2069
148.5	2018
149.5	1944
150.5	1954
151.5	1906
152.5	2055
153.5	2060
154.5	2270
155.5	2481
156.5	2829
157.5	3430
158.5	3839
159.5	4543
160.5	4825
161.5	5047
162.5	4882
163.5	4396
164.5	3859
165.5	3415
166.5	2788
167.5	2422
168.5	2108
169.5	1886
170.5	1801
171.5	1818
172.5	1851
173.5	2007
174.5	2117
175.5	2179
176.5	2471
177.5	2428
178.5	2413
179.5	2434
180.5	2144
181.5	2057
182.5	1963
183.5	1735
184.5	1698
185.5	1537
186.5	1398
187.5	1362
188.5	1311
189.5	1273
190.5	1335
191.5	1412
192.5	1552
193.5	1691
194.5	1843
195.5	2006
196.5	2081
197.5	2226
198.5	2306
199.5	2155
200.5	2138
201.5	1947
202.5	1884
203.5	1758
204.5	1551
205.5	1495
206.5	1412
207.5	1385
208.5	1349
209.5	1343
210.5	1332
211.5	1310
212.5	1296
213.5	1310
214.5	1253
215.5	1200
216.5	1202
217.5	1060
218.5	1004
219.5	955
220.5	884
221.5	807
222.5	771
223.5	741
224.5	739
225.5	680
226.5	639
227.5	628
228.5	603
229.5	576
230.5	491
231.5	531
232.5	515
233.5	521
234.5	522
235.5	567
236.5	551
237.5	574
238.5	624
239.5	605
240.5	702
241.5	835
242.5	1000
243.5	1146
244.5	1401
245.5	1531
246.5	1721
247.5	1901
248.5	1992
249.5	1915
250.5	1898
251.5	1686
252.5	1605
253.5	1322
254.5	1085
255.5	881
256.5	781
257.5	738
258.5	600
259.5	564
260.5	550
261.5	531
262.5	531
263.5	451
264.5	459
265.5	396
266.5	374
267.5	373
268.5	322
269.5	305
270.5	297
271.5	277
272.5	270
273.5	252
274.5	213
275.5	221
276.5	187
277.5	192
278.5	183
279.5	194
280.5	154
281.5	141
282.5	129
283.5	125
284.5	111
285.5	114
286.5	135
287.5	136
288.5	131
289.5	155
290.5	122
291.5	130
292.5	128
293.5	165
294.5	151
295.5	163
296.5	156
297.5	207
298.5	185
299.5	195
300.5	213
301.5	204
302.5	225
303.5	259
304.5	275
305.5	326
306.5	333
307.5	334
308.5	386
309.5	354
310.5	382
311.5	345
312.5	267
313.5	251
314.5	203
315.5	183
316.5	137
317.5	103
318.5	96
319.5	74
320.5	68
321.5	59
322.5	52
323.5	35
324.5	35
325.5	26
326.5	32
327.5	26
328.5	18
329.5	24
330.5	37
331.5	36
332.5	27
333.5	41
334.5	55
335.5	64
336.5	78
337.5	94
338.5	117
339.5	125
340.5	112
341.5	97
342.5	82
343.5	85
344.5	78
345.5	56
346.5	36
347.5	29
348.5	24
349.5	21
350.5	19
351.5	10
352.5	10
353.5	21
354.5	14
355.5	21
356.5	21
357.5	21
358.5	23
359.5	24
360.5	17
361.5	16
362.5	16
363.5	12
364.5	8
365.5	8
366.5	10
367.5	7
368.5	6
369.5	6
370.5	4
371.5	6
372.5	3
373.5	6
374.5	7
375.5	4
376.5	0
377.5	2
378.5	2
379.5	3
380.5	0
381.5	1
382.5	2
383.5	5
384.5	6
385.5	2
386.5	0
387.5	6
388.5	3
389.5	5
390.5	0
391.5	0
392.5	4
393.5	2
394.5	2
395.5	5
396.5	4
397.5	2
398.5	4
399.5	5
400.5	3
401.5	2
402.5	0
403.5	1
404.5	1
405.5	2
406.5	0
407.5	1
408.5	1
