 ,Label,IntDen,RawIntDen
1,Result of Snapshot_polarizzazione2_0_0001.jpg,16418350.000,16418350.000
2,Result of Snapshot_pol2_+2_0001.jpg,16595538.000,16595538.000
3,Result of Snapshot_pol2_+4_0001.jpg,16598020.000,16598020.000
4,Result of Snapshot_pol2_+6_0001.jpg,16607292.000,16607292.000
5,Result of Snapshot_polarizzazione2_+10_0001.jpg,16424184.000,16424184.000
6,Result of Snapshot_polarizzazione2_+20_0001.jpg,15838616.000,15838616.000
7,Result of Snapshot_polarizzazione2_+30_0001.jpg,14710248.000,14710248.000
8,Result of Snapshot_polarizzazione2_+40_0001.jpg,13231874.000,13231874.000
9,Result of Snapshot_polarizzazione2_+50_0001.jpg,11417049.000,11417049.000
10,Result of Snapshot_pol2_-2_0001.jpg,16424218.000,16424218.000
11,Result of Snapshot_pol2_-4_0001.jpg,16338656.000,16338656.000
12,Result of Snapshot_pol2_-6_0001.jpg,16188422.000,16188422.000
13,Result of Snapshot_polarizzazione2_-10_0001.jpg,15994586.000,15994586.000
14,Result of Snapshot_polarizzazione2_-20_0001.jpg,14778821.000,14778821.000
15,Result of Snapshot_polarizzazione2_-30_0001.jpg,13291128.000,13291128.000
16,Result of Snapshot_polarizzazione2_-40_0001.jpg,11392175.000,11392175.000
17,Result of Snapshot_polarizzazione2_-50_0001.jpg,9256444.000,9256444.000
18,Result of Snapshot_zero_polarizzazione2_0001.jpg,2666582.000,2666582.000
