Test residui Andamento del Voltaggio_____________________________________________
   x       y       y*      res     s_res   
5830.00    -0.08   -0.00   -0.08   1.98    
5840.00    -0.04   0.01    -0.05   1.99    
5850.00    -0.04   0.03    -0.07   1.99    
5860.00    0.00    0.05    -0.05   2.00    
5870.00    0.00    0.07    -0.07   2.00    
5880.00    0.00    0.08    -0.08   2.00    
5890.00    0.04    0.10    -0.06   2.01    
5900.00    0.04    0.12    -0.08   2.01    
5910.00    0.08    0.13    -0.05   2.02    
5920.00    0.08    0.15    -0.07   2.02    
5930.00    0.08    0.16    -0.08   2.02    
5940.00    0.12    0.18    -0.06   2.04    
5950.00    0.12    0.20    -0.08   2.04    
5960.00    0.16    0.21    -0.05   2.05    
5970.00    0.16    0.23    -0.07   2.05    
5980.00    0.16    0.24    -0.08   2.05    
5990.00    0.20    0.26    -0.06   2.06    
6000.00    0.20    0.27    -0.07   2.06    
6010.00    0.24    0.29    -0.05   2.07    
6020.00    0.24    0.30    -0.06   2.07    
6030.00    0.24    0.32    -0.08   2.07    
6040.00    0.28    0.33    -0.05   2.08    
6050.00    0.28    0.35    -0.07   2.08    
6060.00    0.28    0.36    -0.08   2.08    
6070.00    0.32    0.37    -0.05   2.10    
6080.00    0.32    0.39    -0.07   2.10    
6090.00    0.32    0.40    -0.08   2.10    
6100.00    0.36    0.41    -0.05   2.11    
6110.00    0.36    0.42    -0.06   2.11    
6120.00    0.36    0.44    -0.08   2.11    
6130.00    0.40    0.45    -0.05   2.12    
6140.00    0.40    0.46    -0.06   2.12    
6150.00    0.40    0.47    -0.07   2.12    
6160.00    0.44    0.49    -0.05   2.13    
6170.00    0.44    0.50    -0.06   2.13    
6180.00    0.44    0.51    -0.07   2.13    
6190.00    0.44    0.52    -0.08   2.13    
6200.00    0.48    0.53    -0.05   2.14    
6210.00    0.48    0.54    -0.06   2.14    
6220.00    0.48    0.55    -0.07   2.14    
6230.00    0.52    0.56    -0.04   2.16    
6240.00    0.52    0.57    -0.05   2.16    
6250.00    0.52    0.58    -0.06   2.16    
6260.00    0.52    0.59    -0.07   2.16    
6270.00    0.56    0.60    -0.04   2.17    
6280.00    0.56    0.60    -0.04   2.17    
6290.00    0.56    0.61    -0.05   2.17    
6300.00    0.56    0.62    -0.06   2.17    
6310.00    0.56    0.63    -0.07   2.17    
6320.00    0.60    0.64    -0.04   2.18    
6330.00    0.60    0.64    -0.04   2.18    
6340.00    0.60    0.65    -0.05   2.18    
6350.00    0.60    0.66    -0.06   2.18    
6360.00    0.60    0.66    -0.06   2.18    
6370.00    0.64    0.67    -0.03   2.19    
6380.00    0.64    0.68    -0.04   2.19    
6390.00    0.64    0.68    -0.04   2.19    
6400.00    0.64    0.69    -0.05   2.19    
6410.00    0.64    0.69    -0.05   2.19    
6420.00    0.64    0.70    -0.06   2.19    
6430.00    0.64    0.70    -0.06   2.19    
6440.00    0.68    0.70    -0.02   2.20    
6450.00    0.68    0.71    -0.03   2.20    
6460.00    0.68    0.71    -0.03   2.20    
6470.00    0.68    0.71    -0.03   2.20    
6480.00    0.68    0.72    -0.04   2.20    
6490.00    0.68    0.72    -0.04   2.20    
6500.00    0.68    0.72    -0.04   2.20    
6510.00    0.68    0.73    -0.05   2.20    
6520.00    0.68    0.73    -0.05   2.20    
6530.00    0.72    0.73    -0.01   2.22    
6540.00    0.72    0.73    -0.01   2.22    
6550.00    0.72    0.73    -0.01   2.22    
6560.00    0.72    0.73    -0.01   2.22    
6570.00    0.72    0.73    -0.01   2.22    
6580.00    0.72    0.73    -0.01   2.22    
6590.00    0.72    0.73    -0.01   2.22    
6600.00    0.72    0.73    -0.01   2.22    
6610.00    0.72    0.73    -0.01   2.22    
6620.00    0.72    0.73    -0.01   2.22    
6630.00    0.72    0.73    -0.01   2.22    
6640.00    0.72    0.73    -0.01   2.22    
6650.00    0.72    0.73    -0.01   2.22    
6660.00    0.72    0.73    -0.01   2.22    
6670.00    0.72    0.72    -0.00   2.22    
6680.00    0.72    0.72    -0.00   2.22    
6690.00    0.72    0.72    0.00    2.22    
6700.00    0.72    0.72    0.00    2.22    
6710.00    0.72    0.71    0.01    2.22    
6720.00    0.72    0.71    0.01    2.22    
6730.00    0.72    0.71    0.01    2.22    
6740.00    0.72    0.70    0.02    2.22    
6750.00    0.72    0.70    0.02    2.22    
6760.00    0.68    0.69    -0.01   2.20    
6770.00    0.68    0.69    -0.01   2.20    
6780.00    0.68    0.68    -0.00   2.20    
6790.00    0.68    0.68    0.00    2.20    
6800.00    0.68    0.67    0.01    2.20    
6810.00    0.68    0.67    0.01    2.20    
6820.00    0.68    0.66    0.02    2.20    
6830.00    0.68    0.66    0.02    2.20    
6840.00    0.68    0.65    0.03    2.20    
6850.00    0.64    0.64    -0.00   2.19    
6860.00    0.64    0.64    0.00    2.19    
6870.00    0.64    0.63    0.01    2.19    
6880.00    0.64    0.62    0.02    2.19    
6890.00    0.64    0.62    0.02    2.19    
6900.00    0.64    0.61    0.03    2.19    
6910.00    0.64    0.60    0.04    2.19    
6920.00    0.60    0.60    0.00    2.18    
6930.00    0.60    0.59    0.01    2.18    
6940.00    0.60    0.58    0.02    2.18    
6950.00    0.60    0.57    0.03    2.18    
6960.00    0.60    0.56    0.04    2.18    
6970.00    0.60    0.56    0.04    2.18    
6980.00    0.56    0.55    0.01    2.17    
6990.00    0.56    0.54    0.02    2.17    
7000.00    0.56    0.53    0.03    2.17    
7010.00    0.56    0.52    0.04    2.17    
7020.00    0.56    0.51    0.05    2.17    
7030.00    0.56    0.50    0.06    2.17    
7040.00    0.52    0.49    0.03    2.16    
7050.00    0.52    0.48    0.04    2.16    
7060.00    0.52    0.47    0.05    2.16    
7070.00    0.52    0.46    0.06    2.16    
7080.00    0.52    0.45    0.07    2.16    
7090.00    0.48    0.44    0.04    2.14    
7100.00    0.48    0.43    0.05    2.14    
7110.00    0.48    0.42    0.06    2.14    
7120.00    0.48    0.41    0.07    2.14    
7130.00    0.44    0.40    0.04    2.13    
7140.00    0.44    0.39    0.05    2.13    
7150.00    0.44    0.38    0.06    2.13    
7160.00    0.44    0.37    0.07    2.13    
7170.00    0.40    0.36    0.04    2.12    
7180.00    0.40    0.35    0.05    2.12    
7190.00    0.40    0.34    0.06    2.12    
7200.00    0.40    0.33    0.07    2.12    
7210.00    0.36    0.32    0.04    2.11    
7220.00    0.36    0.31    0.05    2.11    
7230.00    0.36    0.29    0.07    2.11    
7240.00    0.36    0.28    0.08    2.11    
7250.00    0.32    0.27    0.05    2.10    
7260.00    0.32    0.26    0.06    2.10    
7270.00    0.32    0.25    0.07    2.10    
7280.00    0.32    0.24    0.08    2.10    
7290.00    0.28    0.23    0.05    2.08    
7300.00    0.28    0.22    0.06    2.08    
7310.00    0.28    0.20    0.08    2.08    
7320.00    0.28    0.19    0.09    2.08    
7330.00    0.24    0.18    0.06    2.07    
7340.00    0.24    0.17    0.07    2.07    
7350.00    0.24    0.16    0.08    2.07    
7360.00    0.24    0.15    0.09    2.07    
7370.00    0.20    0.14    0.06    2.06    
7380.00    0.20    0.13    0.07    2.06    
7390.00    0.20    0.11    0.09    2.06    
7400.00    0.16    0.10    0.06    2.05    
7410.00    0.16    0.09    0.07    2.05    
7420.00    0.16    0.08    0.08    2.05    
7430.00    0.16    0.07    0.09    2.05    
7440.00    0.12    0.06    0.06    2.04    
7450.00    0.12    0.05    0.07    2.04    
7460.00    0.12    0.04    0.08    2.04    
7470.00    0.12    0.02    0.10    2.04    
7480.00    0.08    0.01    0.07    2.02    
7490.00    0.08    0.00    0.08    2.02    
7500.00    0.08    -0.01   0.09    2.02    
7510.00    0.08    -0.02   0.10    2.02    
7520.00    0.04    -0.03   0.07    2.01    
7530.00    0.04    -0.04   0.08    2.01    
7540.00    0.04    -0.05   0.09    2.01    
7550.00    0.00    -0.06   0.06    2.00    
7560.00    0.00    -0.07   0.07    2.00    
7570.00    0.00    -0.08   0.08    2.00    
7580.00    0.00    -0.09   0.09    2.00    
7590.00    -0.04   -0.10   0.06    1.99    
7600.00    -0.04   -0.11   0.07    1.99    
7610.00    -0.04   -0.12   0.08    1.99    
7620.00    -0.04   -0.13   0.09    1.99    
7630.00    -0.08   -0.14   0.06    1.98    
7640.00    -0.08   -0.15   0.07    1.98    
7650.00    -0.08   -0.16   0.08    1.98    
7660.00    -0.08   -0.17   0.09    1.98    
7670.00    -0.12   -0.18   0.06    1.96    
7680.00    -0.12   -0.19   0.07    1.96    
7690.00    -0.12   -0.20   0.08    1.96    
7700.00    -0.12   -0.21   0.09    1.96    
7710.00    -0.12   -0.22   0.10    1.96    
7720.00    -0.16   -0.22   0.06    1.95    
7730.00    -0.16   -0.23   0.07    1.95    
7740.00    -0.16   -0.24   0.08    1.95    
7750.00    -0.16   -0.25   0.09    1.95    
7760.00    -0.16   -0.26   0.10    1.95    
7770.00    -0.20   -0.27   0.07    1.94    
7780.00    -0.20   -0.27   0.07    1.94    
7790.00    -0.20   -0.28   0.08    1.94    
7800.00    -0.20   -0.29   0.09    1.94    
7810.00    -0.24   -0.30   0.06    1.93    
7820.00    -0.24   -0.30   0.06    1.93    
7830.00    -0.24   -0.31   0.07    1.93    
7840.00    -0.24   -0.32   0.08    1.93    
7850.00    -0.24   -0.32   0.08    1.93    
7860.00    -0.24   -0.33   0.09    1.93    
7870.00    -0.28   -0.34   0.06    1.92    
7880.00    -0.28   -0.34   0.06    1.92    
7890.00    -0.28   -0.35   0.07    1.92    
7900.00    -0.28   -0.36   0.08    1.92    
7910.00    -0.28   -0.36   0.08    1.92    
7920.00    -0.28   -0.37   0.09    1.92    
7930.00    -0.32   -0.37   0.05    1.90    
7940.00    -0.32   -0.38   0.06    1.90    
7950.00    -0.32   -0.38   0.06    1.90    
7960.00    -0.32   -0.39   0.07    1.90    
7970.00    -0.32   -0.39   0.07    1.90    
7980.00    -0.32   -0.40   0.08    1.90    
7990.00    -0.32   -0.40   0.08    1.90    
8000.00    -0.32   -0.41   0.09    1.90    
8010.00    -0.36   -0.41   0.05    1.89    
8020.00    -0.36   -0.42   0.06    1.89    
8030.00    -0.36   -0.42   0.06    1.89    
8040.00    -0.36   -0.42   0.06    1.89    
8050.00    -0.36   -0.43   0.07    1.89    
8060.00    -0.36   -0.43   0.07    1.89    
8070.00    -0.36   -0.43   0.07    1.89    
8080.00    -0.36   -0.44   0.08    1.89    
8090.00    -0.36   -0.44   0.08    1.89    
8100.00    -0.36   -0.44   0.08    1.89    
8110.00    -0.40   -0.44   0.04    1.88    
8120.00    -0.40   -0.45   0.05    1.88    
8130.00    -0.40   -0.45   0.05    1.88    
8140.00    -0.40   -0.45   0.05    1.88    
8150.00    -0.40   -0.45   0.05    1.88    
8160.00    -0.40   -0.45   0.05    1.88    
8170.00    -0.40   -0.46   0.06    1.88    
8180.00    -0.40   -0.46   0.06    1.88    
8190.00    -0.40   -0.46   0.06    1.88    
8200.00    -0.40   -0.46   0.06    1.88    
8210.00    -0.40   -0.46   0.06    1.88    
8220.00    -0.40   -0.46   0.06    1.88    
8230.00    -0.40   -0.46   0.06    1.88    
8240.00    -0.40   -0.46   0.06    1.88    
8250.00    -0.40   -0.46   0.06    1.88    
8260.00    -0.40   -0.46   0.06    1.88    
8270.00    -0.40   -0.46   0.06    1.88    
8280.00    -0.40   -0.46   0.06    1.88    
8290.00    -0.40   -0.46   0.06    1.88    
8300.00    -0.40   -0.46   0.06    1.88    
8310.00    -0.40   -0.46   0.06    1.88    
8320.00    -0.40   -0.46   0.06    1.88    
8330.00    -0.40   -0.45   0.05    1.88    
8340.00    -0.40   -0.45   0.05    1.88    
8350.00    -0.40   -0.45   0.05    1.88    
8360.00    -0.40   -0.45   0.05    1.88    
8370.00    -0.40   -0.45   0.05    1.88    
8380.00    -0.40   -0.45   0.05    1.88    
8390.00    -0.40   -0.44   0.04    1.88    
8400.00    -0.40   -0.44   0.04    1.88    
8410.00    -0.40   -0.44   0.04    1.88    
8420.00    -0.40   -0.44   0.04    1.88    
8430.00    -0.40   -0.43   0.03    1.88    
8440.00    -0.40   -0.43   0.03    1.88    
8450.00    -0.40   -0.43   0.03    1.88    
8460.00    -0.40   -0.42   0.02    1.88    
8470.00    -0.40   -0.42   0.02    1.88    
8480.00    -0.40   -0.42   0.02    1.88    
8490.00    -0.40   -0.41   0.01    1.88    
8500.00    -0.40   -0.41   0.01    1.88    
8510.00    -0.40   -0.41   0.01    1.88    
8520.00    -0.36   -0.40   0.04    1.89    
8530.00    -0.36   -0.40   0.04    1.89    
8540.00    -0.36   -0.39   0.03    1.89    
8550.00    -0.36   -0.39   0.03    1.89    
8560.00    -0.36   -0.38   0.02    1.89    
8570.00    -0.36   -0.38   0.02    1.89    
8580.00    -0.36   -0.37   0.01    1.89    
8590.00    -0.36   -0.37   0.01    1.89    
8600.00    -0.36   -0.36   0.00    1.89    
8610.00    -0.36   -0.36   -0.00   1.89    
8620.00    -0.36   -0.35   -0.01   1.89    
8630.00    -0.36   -0.35   -0.01   1.89    
8640.00    -0.32   -0.34   0.02    1.90    
8650.00    -0.32   -0.34   0.02    1.90    
8660.00    -0.32   -0.33   0.01    1.90    
8670.00    -0.32   -0.33   0.01    1.90    
8680.00    -0.32   -0.32   0.00    1.90    
8690.00    -0.32   -0.32   -0.00   1.90    
8700.00    -0.32   -0.31   -0.01   1.90    
8710.00    -0.32   -0.30   -0.02   1.90    
8720.00    -0.28   -0.30   0.02    1.92    
8730.00    -0.28   -0.29   0.01    1.92    
8740.00    -0.28   -0.29   0.01    1.92    
8750.00    -0.28   -0.28   -0.00   1.92    
8760.00    -0.28   -0.27   -0.01   1.92    
8770.00    -0.28   -0.27   -0.01   1.92    
8780.00    -0.28   -0.26   -0.02   1.92    
8790.00    -0.28   -0.25   -0.03   1.92    
8800.00    -0.24   -0.25   0.01    1.93    
8810.00    -0.24   -0.24   0.00    1.93    
8820.00    -0.24   -0.23   -0.01   1.93    
8830.00    -0.24   -0.23   -0.01   1.93    
8840.00    -0.24   -0.22   -0.02   1.93    
8850.00    -0.24   -0.21   -0.03   1.93    
8860.00    -0.20   -0.21   0.01    1.94    
8870.00    -0.20   -0.20   -0.00   1.94    
8880.00    -0.20   -0.19   -0.01   1.94    
8890.00    -0.20   -0.19   -0.01   1.94    
8900.00    -0.20   -0.18   -0.02   1.94    
8910.00    -0.20   -0.17   -0.03   1.94    
8920.00    -0.20   -0.16   -0.04   1.94    
8930.00    -0.16   -0.16   -0.00   1.95    
8940.00    -0.16   -0.15   -0.01   1.95    
8950.00    -0.16   -0.14   -0.02   1.95    
8960.00    -0.16   -0.14   -0.02   1.95    
8970.00    -0.16   -0.13   -0.03   1.95    
8980.00    -0.16   -0.12   -0.04   1.95    
8990.00    -0.12   -0.12   -0.00   1.96    
9000.00    -0.12   -0.11   -0.01   1.96    
9010.00    -0.12   -0.10   -0.02   1.96    
9020.00    -0.12   -0.09   -0.03   1.96    
9030.00    -0.12   -0.09   -0.03   1.96    
9040.00    -0.12   -0.08   -0.04   1.96    
9050.00    -0.08   -0.07   -0.01   1.98    
9060.00    -0.08   -0.07   -0.01   1.98    
9070.00    -0.08   -0.06   -0.02   1.98    
9080.00    -0.08   -0.05   -0.03   1.98    
9090.00    -0.08   -0.04   -0.04   1.98    
9100.00    -0.08   -0.04   -0.04   1.98    
9110.00    -0.04   -0.03   -0.01   1.99    
9120.00    -0.04   -0.02   -0.02   1.99    
9130.00    -0.04   -0.02   -0.02   1.99    
9140.00    -0.04   -0.01   -0.03   1.99    
9150.00    -0.04   -0.00   -0.04   1.99    
9160.00    -0.04   0.00    -0.04   1.99    
9170.00    0.00    0.01    -0.01   2.00    
9180.00    0.00    0.02    -0.02   2.00    
9190.00    0.00    0.02    -0.02   2.00    
9200.00    0.00    0.03    -0.03   2.00    
9210.00    0.00    0.04    -0.04   2.00    
9220.00    0.00    0.04    -0.04   2.00    
9230.00    0.04    0.05    -0.01   2.01    
9240.00    0.04    0.06    -0.02   2.01    
9250.00    0.04    0.06    -0.02   2.01    
9260.00    0.04    0.07    -0.03   2.01    
9270.00    0.04    0.08    -0.04   2.01    
9280.00    0.04    0.08    -0.04   2.01    
9290.00    0.04    0.09    -0.05   2.01    
9300.00    0.08    0.09    -0.01   2.02    
9310.00    0.08    0.10    -0.02   2.02    
9320.00    0.08    0.11    -0.03   2.02    
9330.00    0.08    0.11    -0.03   2.02    
9340.00    0.08    0.12    -0.04   2.02    
9350.00    0.08    0.12    -0.04   2.02    
9360.00    0.08    0.13    -0.05   2.02    
9370.00    0.12    0.13    -0.01   2.04    
9380.00    0.12    0.14    -0.02   2.04    
9390.00    0.12    0.15    -0.03   2.04    
9400.00    0.12    0.15    -0.03   2.04    
9410.00    0.12    0.16    -0.04   2.04    
9420.00    0.12    0.16    -0.04   2.04    
9430.00    0.12    0.17    -0.05   2.04    
9440.00    0.16    0.17    -0.01   2.05    
9450.00    0.16    0.18    -0.02   2.05    
9460.00    0.16    0.18    -0.02   2.05    
9470.00    0.16    0.19    -0.03   2.05    
9480.00    0.16    0.19    -0.03   2.05    
9490.00    0.16    0.19    -0.03   2.05    
9500.00    0.16    0.20    -0.04   2.05    
9510.00    0.16    0.20    -0.04   2.05    
9520.00    0.20    0.21    -0.01   2.06    
9530.00    0.20    0.21    -0.01   2.06    
9540.00    0.20    0.22    -0.02   2.06    
9550.00    0.20    0.22    -0.02   2.06    
9560.00    0.20    0.22    -0.02   2.06    
9570.00    0.20    0.23    -0.03   2.06    
9580.00    0.20    0.23    -0.03   2.06    
9590.00    0.20    0.23    -0.03   2.06    
9600.00    0.20    0.24    -0.04   2.06    
9610.00    0.20    0.24    -0.04   2.06    
9620.00    0.24    0.24    -0.00   2.07    
9630.00    0.24    0.25    -0.01   2.07    
9640.00    0.24    0.25    -0.01   2.07    
9650.00    0.24    0.25    -0.01   2.07    
9660.00    0.24    0.26    -0.02   2.07    
9670.00    0.24    0.26    -0.02   2.07    
9680.00    0.24    0.26    -0.02   2.07    
9690.00    0.24    0.26    -0.02   2.07    
9700.00    0.24    0.27    -0.03   2.07    
9710.00    0.24    0.27    -0.03   2.07    
9720.00    0.24    0.27    -0.03   2.07    
9730.00    0.24    0.27    -0.03   2.07    
9740.00    0.24    0.27    -0.03   2.07    
9750.00    0.24    0.28    -0.04   2.07    
9760.00    0.28    0.28    0.00    2.08    
9770.00    0.28    0.28    0.00    2.08    
9780.00    0.28    0.28    -0.00   2.08    
9790.00    0.28    0.28    -0.00   2.08    
9800.00    0.28    0.28    -0.00   2.08    
9810.00    0.28    0.28    -0.00   2.08    
9820.00    0.28    0.28    -0.00   2.08    
9830.00    0.28    0.29    -0.01   2.08    
9840.00    0.28    0.29    -0.01   2.08    
9850.00    0.28    0.29    -0.01   2.08    
9860.00    0.28    0.29    -0.01   2.08    
9870.00    0.28    0.29    -0.01   2.08    
9880.00    0.28    0.29    -0.01   2.08    
9890.00    0.28    0.29    -0.01   2.08    
9900.00    0.28    0.29    -0.01   2.08    
9910.00    0.28    0.29    -0.01   2.08    
9920.00    0.28    0.29    -0.01   2.08    
9930.00    0.28    0.29    -0.01   2.08    
9940.00    0.28    0.29    -0.01   2.08    
9950.00    0.28    0.29    -0.01   2.08    
9960.00    0.28    0.29    -0.01   2.08    
9970.00    0.28    0.29    -0.01   2.08    
9980.00    0.28    0.29    -0.01   2.08    
9990.00    0.28    0.29    -0.01   2.08    
10000.00    0.28    0.28    -0.00   2.08    
10010.00    0.28    0.28    -0.00   2.08    
10020.00    0.28    0.28    -0.00   2.08    
10030.00    0.28    0.28    -0.00   2.08    
10040.00    0.28    0.28    0.00    2.08    
10050.00    0.28    0.28    0.00    2.08    
10060.00    0.28    0.28    0.00    2.08    
10070.00    0.28    0.28    0.00    2.08    
10080.00    0.28    0.27    0.01    2.08    
10090.00    0.28    0.27    0.01    2.08    
10100.00    0.28    0.27    0.01    2.08    
10110.00    0.28    0.27    0.01    2.08    
10120.00    0.28    0.27    0.01    2.08    
10130.00    0.28    0.26    0.02    2.08    
10140.00    0.28    0.26    0.02    2.08    
10150.00    0.28    0.26    0.02    2.08    
10160.00    0.28    0.26    0.02    2.08    
10170.00    0.28    0.25    0.03    2.08    
10180.00    0.28    0.25    0.03    2.08    
10190.00    0.28    0.25    0.03    2.08    
10200.00    0.28    0.25    0.03    2.08    
10210.00    0.28    0.24    0.04    2.08    
10220.00    0.24    0.24    -0.00   2.07    
10230.00    0.24    0.24    0.00    2.07    
10240.00    0.24    0.24    0.00    2.07    
10250.00    0.24    0.23    0.01    2.07    
10260.00    0.24    0.23    0.01    2.07    
10270.00    0.24    0.23    0.01    2.07    
10280.00    0.24    0.22    0.02    2.07    
10290.00    0.24    0.22    0.02    2.07    
10300.00    0.24    0.22    0.02    2.07    
10310.00    0.24    0.21    0.03    2.07    
10320.00    0.24    0.21    0.03    2.07    
10330.00    0.24    0.21    0.03    2.07    
10340.00    0.24    0.20    0.04    2.07    
10350.00    0.24    0.20    0.04    2.07    
10360.00    0.24    0.20    0.04    2.07    
10370.00    0.20    0.19    0.01    2.06    
10380.00    0.20    0.19    0.01    2.06    
10390.00    0.20    0.18    0.02    2.06    
10400.00    0.20    0.18    0.02    2.06    
10410.00    0.20    0.18    0.02    2.06    
10420.00    0.20    0.17    0.03    2.06    
10430.00    0.20    0.17    0.03    2.06    
10440.00    0.20    0.16    0.04    2.06    
10450.00    0.20    0.16    0.04    2.06    
10460.00    0.20    0.16    0.04    2.06    
10470.00    0.20    0.15    0.05    2.06    
10480.00    0.16    0.15    0.01    2.05    
10490.00    0.16    0.14    0.02    2.05    
10500.00    0.16    0.14    0.02    2.05    
10510.00    0.16    0.13    0.03    2.05    
10520.00    0.16    0.13    0.03    2.05    
10530.00    0.16    0.13    0.03    2.05    
10540.00    0.16    0.12    0.04    2.05    
10550.00    0.16    0.12    0.04    2.05    
10560.00    0.16    0.11    0.05    2.05    
10570.00    0.16    0.11    0.05    2.05    
10580.00    0.16    0.10    0.06    2.05    
10590.00    0.12    0.10    0.02    2.04    
10600.00    0.12    0.10    0.02    2.04    
10610.00    0.12    0.09    0.03    2.04    
10620.00    0.12    0.09    0.03    2.04    
10630.00    0.12    0.08    0.04    2.04    
10640.00    0.12    0.08    0.04    2.04    
10650.00    0.12    0.07    0.05    2.04    
10660.00    0.12    0.07    0.05    2.04    
10670.00    0.12    0.06    0.06    2.04    
10680.00    0.08    0.06    0.02    2.02    
10690.00    0.08    0.05    0.03    2.02    
10700.00    0.08    0.05    0.03    2.02    
10710.00    0.08    0.05    0.03    2.02    
10720.00    0.08    0.04    0.04    2.02    
10730.00    0.08    0.04    0.04    2.02    
10740.00    0.08    0.03    0.05    2.02    
10750.00    0.08    0.03    0.05    2.02    
10760.00    0.08    0.02    0.06    2.02    
10770.00    0.08    0.02    0.06    2.02    
10780.00    0.04    0.02    0.02    2.01    
10790.00    0.04    0.01    0.03    2.01    
10800.00    0.04    0.01    0.03    2.01    
10810.00    0.04    0.00    0.04    2.01    
10820.00    0.04    -0.00   0.04    2.01    
10830.00    0.04    -0.01   0.05    2.01    
10840.00    0.04    -0.01   0.05    2.01    
10850.00    0.04    -0.01   0.05    2.01    
10860.00    0.04    -0.02   0.06    2.01    
10870.00    0.04    -0.02   0.06    2.01    
10880.00    0.00    -0.03   0.03    2.00    
10890.00    0.00    -0.03   0.03    2.00    
10900.00    0.00    -0.04   0.04    2.00    
10910.00    0.00    -0.04   0.04    2.00    
10920.00    0.00    -0.04   0.04    2.00    
10930.00    0.00    -0.05   0.05    2.00    
10940.00    0.00    -0.05   0.05    2.00    
10950.00    0.00    -0.06   0.06    2.00    
10960.00    0.00    -0.06   0.06    2.00    
10970.00    0.00    -0.06   0.06    2.00    
10980.00    -0.04   -0.07   0.03    1.99    
10990.00    -0.04   -0.07   0.03    1.99    
11000.00    -0.04   -0.07   0.03    1.99    
11010.00    -0.04   -0.08   0.04    1.99    
11020.00    -0.04   -0.08   0.04    1.99    
11030.00    -0.04   -0.08   0.04    1.99    
11040.00    -0.04   -0.09   0.05    1.99    
11050.00    -0.04   -0.09   0.05    1.99    
11060.00    -0.04   -0.09   0.05    1.99    
11070.00    -0.04   -0.10   0.06    1.99    
11080.00    -0.04   -0.10   0.06    1.99    
11090.00    -0.04   -0.10   0.06    1.99    
11100.00    -0.08   -0.11   0.03    1.98    
11110.00    -0.08   -0.11   0.03    1.98    
11120.00    -0.08   -0.11   0.03    1.98    
11130.00    -0.08   -0.12   0.04    1.98    
11140.00    -0.08   -0.12   0.04    1.98    
11150.00    -0.08   -0.12   0.04    1.98    
11160.00    -0.08   -0.12   0.04    1.98    
11170.00    -0.08   -0.13   0.05    1.98    
11180.00    -0.08   -0.13   0.05    1.98    
11190.00    -0.08   -0.13   0.05    1.98    
11200.00    -0.08   -0.14   0.06    1.98    
11210.00    -0.08   -0.14   0.06    1.98    
11220.00    -0.08   -0.14   0.06    1.98    
11230.00    -0.08   -0.14   0.06    1.98    
11240.00    -0.12   -0.14   0.02    1.96    
11250.00    -0.12   -0.15   0.03    1.96    
11260.00    -0.12   -0.15   0.03    1.96    
11270.00    -0.12   -0.15   0.03    1.96    
11280.00    -0.12   -0.15   0.03    1.96    
11290.00    -0.12   -0.16   0.04    1.96    
11300.00    -0.12   -0.16   0.04    1.96    
11310.00    -0.12   -0.16   0.04    1.96    
11320.00    -0.12   -0.16   0.04    1.96    
11330.00    -0.12   -0.16   0.04    1.96    
11340.00    -0.12   -0.16   0.04    1.96    
11350.00    -0.12   -0.17   0.05    1.96    
11360.00    -0.12   -0.17   0.05    1.96    
11370.00    -0.12   -0.17   0.05    1.96    
11380.00    -0.12   -0.17   0.05    1.96    
11390.00    -0.12   -0.17   0.05    1.96    
11400.00    -0.12   -0.17   0.05    1.96    
11410.00    -0.12   -0.17   0.05    1.96    
11420.00    -0.12   -0.17   0.05    1.96    
11430.00    -0.12   -0.18   0.06    1.96    
11440.00    -0.12   -0.18   0.06    1.96    
11450.00    -0.16   -0.18   0.02    1.95    
11460.00    -0.16   -0.18   0.02    1.95    
11470.00    -0.16   -0.18   0.02    1.95    
11480.00    -0.16   -0.18   0.02    1.95    
11490.00    -0.16   -0.18   0.02    1.95    
11500.00    -0.16   -0.18   0.02    1.95    
11510.00    -0.16   -0.18   0.02    1.95    
11520.00    -0.16   -0.18   0.02    1.95    
11530.00    -0.16   -0.18   0.02    1.95    
11540.00    -0.16   -0.18   0.02    1.95    
11550.00    -0.16   -0.18   0.02    1.95    
11560.00    -0.16   -0.18   0.02    1.95    
11570.00    -0.16   -0.18   0.02    1.95    
11580.00    -0.16   -0.18   0.02    1.95    
11590.00    -0.16   -0.18   0.02    1.95    
11600.00    -0.16   -0.18   0.02    1.95    
11610.00    -0.16   -0.18   0.02    1.95    
11620.00    -0.16   -0.18   0.02    1.95    
11630.00    -0.16   -0.18   0.02    1.95    
11640.00    -0.16   -0.18   0.02    1.95    
11650.00    -0.16   -0.18   0.02    1.95    
11660.00    -0.16   -0.18   0.02    1.95    
11670.00    -0.16   -0.18   0.02    1.95    
11680.00    -0.16   -0.18   0.02    1.95    
11690.00    -0.16   -0.18   0.02    1.95    
11700.00    -0.16   -0.18   0.02    1.95    
11710.00    -0.16   -0.17   0.01    1.95    
11720.00    -0.16   -0.17   0.01    1.95    
11730.00    -0.16   -0.17   0.01    1.95    
11740.00    -0.16   -0.17   0.01    1.95    
11750.00    -0.16   -0.17   0.01    1.95    
11760.00    -0.16   -0.17   0.01    1.95    
11770.00    -0.16   -0.17   0.01    1.95    
11780.00    -0.16   -0.17   0.01    1.95    
11790.00    -0.16   -0.17   0.01    1.95    
11800.00    -0.16   -0.16   0.00    1.95    
11810.00    -0.16   -0.16   0.00    1.95    
11820.00    -0.16   -0.16   0.00    1.95    
11830.00    -0.16   -0.16   0.00    1.95    
