Test Chi Quadro Andamento del Voltaggio_____________________________________________
   x       y       y*      sy      Chi     
1350.00    -2.72   -2.61   1.18    0.01    
1360.00    -2.72   -2.63   1.18    0.01    
1370.00    -2.76   -2.66   1.17    0.01    
1380.00    -2.76   -2.69   1.17    0.00    
1390.00    -2.80   -2.71   1.16    0.01    
1400.00    -2.80   -2.73   1.16    0.00    
1410.00    -2.84   -2.75   1.15    0.01    
1420.00    -2.84   -2.78   1.15    0.00    
1430.00    -2.88   -2.80   1.14    0.01    
1440.00    -2.88   -2.81   1.14    0.00    
1450.00    -2.88   -2.83   1.14    0.00    
1460.00    -2.92   -2.85   1.12    0.00    
1470.00    -2.92   -2.86   1.12    0.00    
1480.00    -2.92   -2.88   1.12    0.00    
1490.00    -2.92   -2.89   1.12    0.00    
1500.00    -2.96   -2.90   1.11    0.00    
1510.00    -2.96   -2.91   1.11    0.00    
1520.00    -2.96   -2.92   1.11    0.00    
1530.00    -2.96   -2.93   1.11    0.00    
1540.00    -2.96   -2.94   1.11    0.00    
1550.00    -2.96   -2.94   1.11    0.00    
1560.00    -2.96   -2.95   1.11    0.00    
1570.00    -2.96   -2.95   1.11    0.00    
1580.00    -2.96   -2.95   1.11    0.00    
1590.00    -2.96   -2.96   1.11    0.00    
1600.00    -2.96   -2.96   1.11    0.00    
1610.00    -2.96   -2.96   1.11    0.00    
1620.00    -2.96   -2.96   1.11    0.00    
1630.00    -2.96   -2.95   1.11    0.00    
1640.00    -2.96   -2.95   1.11    0.00    
1650.00    -2.92   -2.94   1.12    0.00    
1660.00    -2.92   -2.94   1.12    0.00    
1670.00    -2.92   -2.93   1.12    0.00    
1680.00    -2.92   -2.92   1.12    0.00    
1690.00    -2.92   -2.92   1.12    0.00    
1700.00    -2.88   -2.91   1.14    0.00    
1710.00    -2.88   -2.89   1.14    0.00    
1720.00    -2.88   -2.88   1.14    0.00    
1730.00    -2.84   -2.87   1.15    0.00    
1740.00    -2.84   -2.86   1.15    0.00    
1750.00    -2.80   -2.84   1.16    0.00    
1760.00    -2.80   -2.83   1.16    0.00    
1770.00    -2.80   -2.81   1.16    0.00    
1780.00    -2.76   -2.79   1.17    0.00    
1790.00    -2.76   -2.77   1.17    0.00    
1800.00    -2.72   -2.75   1.18    0.00    
1810.00    -2.72   -2.73   1.18    0.00    
1820.00    -2.68   -2.71   1.20    0.00    
1830.00    -2.64   -2.69   1.21    0.00    
1840.00    -2.64   -2.67   1.21    0.00    
1850.00    -2.60   -2.64   1.22    0.00    
1860.00    -2.60   -2.62   1.22    0.00    
