Test Chi Quadro Andamento del Voltaggio_____________________________________________
   x       y       y*      sy      Chi     
5900.00    0.04    0.12    2.01    0.00    
5910.00    0.08    0.13    2.02    0.00    
5920.00    0.08    0.15    2.02    0.00    
5930.00    0.08    0.16    2.02    0.00    
5940.00    0.12    0.18    2.04    0.00    
5950.00    0.12    0.20    2.04    0.00    
5960.00    0.16    0.21    2.05    0.00    
5970.00    0.16    0.23    2.05    0.00    
5980.00    0.16    0.24    2.05    0.00    
5990.00    0.20    0.26    2.06    0.00    
6000.00    0.20    0.27    2.06    0.00    
6010.00    0.24    0.29    2.07    0.00    
6020.00    0.24    0.30    2.07    0.00    
6030.00    0.24    0.32    2.07    0.00    
6040.00    0.28    0.33    2.08    0.00    
6050.00    0.28    0.35    2.08    0.00    
6060.00    0.28    0.36    2.08    0.00    
6070.00    0.32    0.37    2.10    0.00    
6080.00    0.32    0.39    2.10    0.00    
6090.00    0.32    0.40    2.10    0.00    
6100.00    0.36    0.41    2.11    0.00    
6110.00    0.36    0.42    2.11    0.00    
6120.00    0.36    0.44    2.11    0.00    
6130.00    0.40    0.45    2.12    0.00    
6140.00    0.40    0.46    2.12    0.00    
6150.00    0.40    0.47    2.12    0.00    
6160.00    0.44    0.49    2.13    0.00    
6170.00    0.44    0.50    2.13    0.00    
6180.00    0.44    0.51    2.13    0.00    
6190.00    0.44    0.52    2.13    0.00    
6200.00    0.48    0.53    2.14    0.00    
6210.00    0.48    0.54    2.14    0.00    
6220.00    0.48    0.55    2.14    0.00    
6230.00    0.52    0.56    2.16    0.00    
6240.00    0.52    0.57    2.16    0.00    
6250.00    0.52    0.58    2.16    0.00    
6260.00    0.52    0.59    2.16    0.00    
6270.00    0.56    0.60    2.17    0.00    
6280.00    0.56    0.60    2.17    0.00    
6290.00    0.56    0.61    2.17    0.00    
6300.00    0.56    0.62    2.17    0.00    
6310.00    0.56    0.63    2.17    0.00    
6320.00    0.60    0.64    2.18    0.00    
6330.00    0.60    0.64    2.18    0.00    
6340.00    0.60    0.65    2.18    0.00    
6350.00    0.60    0.66    2.18    0.00    
6360.00    0.60    0.66    2.18    0.00    
6370.00    0.64    0.67    2.19    0.00    
6380.00    0.64    0.68    2.19    0.00    
6390.00    0.64    0.68    2.19    0.00    
6400.00    0.64    0.69    2.19    0.00    
6410.00    0.64    0.69    2.19    0.00    
6420.00    0.64    0.70    2.19    0.00    
6430.00    0.64    0.70    2.19    0.00    
6440.00    0.68    0.70    2.20    0.00    
6450.00    0.68    0.71    2.20    0.00    
6460.00    0.68    0.71    2.20    0.00    
6470.00    0.68    0.71    2.20    0.00    
6480.00    0.68    0.72    2.20    0.00    
6490.00    0.68    0.72    2.20    0.00    
6500.00    0.68    0.72    2.20    0.00    
6510.00    0.68    0.73    2.20    0.00    
6520.00    0.68    0.73    2.20    0.00    
6530.00    0.72    0.73    2.22    0.00    
6540.00    0.72    0.73    2.22    0.00    
6550.00    0.72    0.73    2.22    0.00    
6560.00    0.72    0.73    2.22    0.00    
6570.00    0.72    0.73    2.22    0.00    
6580.00    0.72    0.73    2.22    0.00    
6590.00    0.72    0.73    2.22    0.00    
6600.00    0.72    0.73    2.22    0.00    
6610.00    0.72    0.73    2.22    0.00    
6620.00    0.72    0.73    2.22    0.00    
6630.00    0.72    0.73    2.22    0.00    
6640.00    0.72    0.73    2.22    0.00    
6650.00    0.72    0.73    2.22    0.00    
6660.00    0.72    0.73    2.22    0.00    
6670.00    0.72    0.72    2.22    0.00    
6680.00    0.72    0.72    2.22    0.00    
6690.00    0.72    0.72    2.22    0.00    
6700.00    0.72    0.72    2.22    0.00    
6710.00    0.72    0.71    2.22    0.00    
6720.00    0.72    0.71    2.22    0.00    
6730.00    0.72    0.71    2.22    0.00    
6740.00    0.72    0.70    2.22    0.00    
6750.00    0.72    0.70    2.22    0.00    
6760.00    0.68    0.69    2.20    0.00    
6770.00    0.68    0.69    2.20    0.00    
6780.00    0.68    0.68    2.20    0.00    
6790.00    0.68    0.68    2.20    0.00    
6800.00    0.68    0.67    2.20    0.00    
6810.00    0.68    0.67    2.20    0.00    
6820.00    0.68    0.66    2.20    0.00    
6830.00    0.68    0.66    2.20    0.00    
6840.00    0.68    0.65    2.20    0.00    
6850.00    0.64    0.64    2.19    0.00    
6860.00    0.64    0.64    2.19    0.00    
6870.00    0.64    0.63    2.19    0.00    
6880.00    0.64    0.62    2.19    0.00    
6890.00    0.64    0.62    2.19    0.00    
6900.00    0.64    0.61    2.19    0.00    
6910.00    0.64    0.60    2.19    0.00    
6920.00    0.60    0.60    2.18    0.00    
6930.00    0.60    0.59    2.18    0.00    
6940.00    0.60    0.58    2.18    0.00    
6950.00    0.60    0.57    2.18    0.00    
6960.00    0.60    0.56    2.18    0.00    
6970.00    0.60    0.56    2.18    0.00    
6980.00    0.56    0.55    2.17    0.00    
6990.00    0.56    0.54    2.17    0.00    
7000.00    0.56    0.53    2.17    0.00    
7010.00    0.56    0.52    2.17    0.00    
7020.00    0.56    0.51    2.17    0.00    
7030.00    0.56    0.50    2.17    0.00    
7040.00    0.52    0.49    2.16    0.00    
7050.00    0.52    0.48    2.16    0.00    
7060.00    0.52    0.47    2.16    0.00    
7070.00    0.52    0.46    2.16    0.00    
7080.00    0.52    0.45    2.16    0.00    
7090.00    0.48    0.44    2.14    0.00    
7100.00    0.48    0.43    2.14    0.00    
7110.00    0.48    0.42    2.14    0.00    
7120.00    0.48    0.41    2.14    0.00    
7130.00    0.44    0.40    2.13    0.00    
7140.00    0.44    0.39    2.13    0.00    
7150.00    0.44    0.38    2.13    0.00    
7160.00    0.44    0.37    2.13    0.00    
7170.00    0.40    0.36    2.12    0.00    
7180.00    0.40    0.35    2.12    0.00    
7190.00    0.40    0.34    2.12    0.00    
7200.00    0.40    0.33    2.12    0.00    
7210.00    0.36    0.32    2.11    0.00    
7220.00    0.36    0.31    2.11    0.00    
7230.00    0.36    0.29    2.11    0.00    
7240.00    0.36    0.28    2.11    0.00    
7250.00    0.32    0.27    2.10    0.00    
7260.00    0.32    0.26    2.10    0.00    
7270.00    0.32    0.25    2.10    0.00    
7280.00    0.32    0.24    2.10    0.00    
7290.00    0.28    0.23    2.08    0.00    
7300.00    0.28    0.22    2.08    0.00    
7310.00    0.28    0.20    2.08    0.00    
7320.00    0.28    0.19    2.08    0.00    
7330.00    0.24    0.18    2.07    0.00    
7340.00    0.24    0.17    2.07    0.00    
7350.00    0.24    0.16    2.07    0.00    
7360.00    0.24    0.15    2.07    0.00    
7370.00    0.20    0.14    2.06    0.00    
7380.00    0.20    0.13    2.06    0.00    
7390.00    0.20    0.11    2.06    0.00    
7400.00    0.16    0.10    2.05    0.00    
7410.00    0.16    0.09    2.05    0.00    
7420.00    0.16    0.08    2.05    0.00    
7430.00    0.16    0.07    2.05    0.00    
7440.00    0.12    0.06    2.04    0.00    
7450.00    0.12    0.05    2.04    0.00    
7460.00    0.12    0.04    2.04    0.00    
7470.00    0.12    0.02    2.04    0.00    
7480.00    0.08    0.01    2.02    0.00    
7490.00    0.08    0.00    2.02    0.00    
7500.00    0.08    -0.01   2.02    0.00    
7510.00    0.08    -0.02   2.02    0.00    
7520.00    0.04    -0.03   2.01    0.00    
7530.00    0.04    -0.04   2.01    0.00    
7540.00    0.04    -0.05   2.01    0.00    
7550.00    0.00    -0.06   2.00    0.00    
7560.00    0.00    -0.07   2.00    0.00    
7570.00    0.00    -0.08   2.00    0.00    
7580.00    0.00    -0.09   2.00    0.00    
7590.00    -0.04   -0.10   1.99    0.00    
7600.00    -0.04   -0.11   1.99    0.00    
7610.00    -0.04   -0.12   1.99    0.00    
7620.00    -0.04   -0.13   1.99    0.00    
7630.00    -0.08   -0.14   1.98    0.00    
7640.00    -0.08   -0.15   1.98    0.00    
7650.00    -0.08   -0.16   1.98    0.00    
7660.00    -0.08   -0.17   1.98    0.00    
7670.00    -0.12   -0.18   1.96    0.00    
7680.00    -0.12   -0.19   1.96    0.00    
7690.00    -0.12   -0.20   1.96    0.00    
7700.00    -0.12   -0.21   1.96    0.00    
7710.00    -0.12   -0.22   1.96    0.00    
7720.00    -0.16   -0.22   1.95    0.00    
7730.00    -0.16   -0.23   1.95    0.00    
7740.00    -0.16   -0.24   1.95    0.00    
7750.00    -0.16   -0.25   1.95    0.00    
7760.00    -0.16   -0.26   1.95    0.00    
7770.00    -0.20   -0.27   1.94    0.00    
7780.00    -0.20   -0.27   1.94    0.00    
7790.00    -0.20   -0.28   1.94    0.00    
7800.00    -0.20   -0.29   1.94    0.00    
7810.00    -0.24   -0.30   1.93    0.00    
7820.00    -0.24   -0.30   1.93    0.00    
7830.00    -0.24   -0.31   1.93    0.00    
7840.00    -0.24   -0.32   1.93    0.00    
7850.00    -0.24   -0.32   1.93    0.00    
7860.00    -0.24   -0.33   1.93    0.00    
7870.00    -0.28   -0.34   1.92    0.00    
7880.00    -0.28   -0.34   1.92    0.00    
7890.00    -0.28   -0.35   1.92    0.00    
7900.00    -0.28   -0.36   1.92    0.00    
7910.00    -0.28   -0.36   1.92    0.00    
7920.00    -0.28   -0.37   1.92    0.00    
7930.00    -0.32   -0.37   1.90    0.00    
7940.00    -0.32   -0.38   1.90    0.00    
7950.00    -0.32   -0.38   1.90    0.00    
7960.00    -0.32   -0.39   1.90    0.00    
7970.00    -0.32   -0.39   1.90    0.00    
7980.00    -0.32   -0.40   1.90    0.00    
7990.00    -0.32   -0.40   1.90    0.00    
8000.00    -0.32   -0.41   1.90    0.00    
8010.00    -0.36   -0.41   1.89    0.00    
8020.00    -0.36   -0.42   1.89    0.00    
8030.00    -0.36   -0.42   1.89    0.00    
8040.00    -0.36   -0.42   1.89    0.00    
8050.00    -0.36   -0.43   1.89    0.00    
8060.00    -0.36   -0.43   1.89    0.00    
8070.00    -0.36   -0.43   1.89    0.00    
8080.00    -0.36   -0.44   1.89    0.00    
8090.00    -0.36   -0.44   1.89    0.00    
8100.00    -0.36   -0.44   1.89    0.00    
8110.00    -0.40   -0.44   1.88    0.00    
8120.00    -0.40   -0.45   1.88    0.00    
8130.00    -0.40   -0.45   1.88    0.00    
8140.00    -0.40   -0.45   1.88    0.00    
8150.00    -0.40   -0.45   1.88    0.00    
8160.00    -0.40   -0.45   1.88    0.00    
8170.00    -0.40   -0.46   1.88    0.00    
8180.00    -0.40   -0.46   1.88    0.00    
8190.00    -0.40   -0.46   1.88    0.00    
8200.00    -0.40   -0.46   1.88    0.00    
8210.00    -0.40   -0.46   1.88    0.00    
8220.00    -0.40   -0.46   1.88    0.00    
8230.00    -0.40   -0.46   1.88    0.00    
8240.00    -0.40   -0.46   1.88    0.00    
8250.00    -0.40   -0.46   1.88    0.00    
8260.00    -0.40   -0.46   1.88    0.00    
8270.00    -0.40   -0.46   1.88    0.00    
8280.00    -0.40   -0.46   1.88    0.00    
8290.00    -0.40   -0.46   1.88    0.00    
8300.00    -0.40   -0.46   1.88    0.00    
8310.00    -0.40   -0.46   1.88    0.00    
8320.00    -0.40   -0.46   1.88    0.00    
8330.00    -0.40   -0.45   1.88    0.00    
8340.00    -0.40   -0.45   1.88    0.00    
8350.00    -0.40   -0.45   1.88    0.00    
8360.00    -0.40   -0.45   1.88    0.00    
8370.00    -0.40   -0.45   1.88    0.00    
8380.00    -0.40   -0.45   1.88    0.00    
8390.00    -0.40   -0.44   1.88    0.00    
8400.00    -0.40   -0.44   1.88    0.00    
8410.00    -0.40   -0.44   1.88    0.00    
8420.00    -0.40   -0.44   1.88    0.00    
8430.00    -0.40   -0.43   1.88    0.00    
8440.00    -0.40   -0.43   1.88    0.00    
8450.00    -0.40   -0.43   1.88    0.00    
8460.00    -0.40   -0.42   1.88    0.00    
8470.00    -0.40   -0.42   1.88    0.00    
8480.00    -0.40   -0.42   1.88    0.00    
8490.00    -0.40   -0.41   1.88    0.00    
8500.00    -0.40   -0.41   1.88    0.00    
8510.00    -0.40   -0.41   1.88    0.00    
8520.00    -0.36   -0.40   1.89    0.00    
8530.00    -0.36   -0.40   1.89    0.00    
8540.00    -0.36   -0.39   1.89    0.00    
8550.00    -0.36   -0.39   1.89    0.00    
8560.00    -0.36   -0.38   1.89    0.00    
8570.00    -0.36   -0.38   1.89    0.00    
8580.00    -0.36   -0.37   1.89    0.00    
8590.00    -0.36   -0.37   1.89    0.00    
8600.00    -0.36   -0.36   1.89    0.00    
8610.00    -0.36   -0.36   1.89    0.00    
8620.00    -0.36   -0.35   1.89    0.00    
8630.00    -0.36   -0.35   1.89    0.00    
8640.00    -0.32   -0.34   1.90    0.00    
8650.00    -0.32   -0.34   1.90    0.00    
8660.00    -0.32   -0.33   1.90    0.00    
8670.00    -0.32   -0.33   1.90    0.00    
8680.00    -0.32   -0.32   1.90    0.00    
8690.00    -0.32   -0.32   1.90    0.00    
8700.00    -0.32   -0.31   1.90    0.00    
8710.00    -0.32   -0.30   1.90    0.00    
8720.00    -0.28   -0.30   1.92    0.00    
8730.00    -0.28   -0.29   1.92    0.00    
8740.00    -0.28   -0.29   1.92    0.00    
8750.00    -0.28   -0.28   1.92    0.00    
8760.00    -0.28   -0.27   1.92    0.00    
8770.00    -0.28   -0.27   1.92    0.00    
8780.00    -0.28   -0.26   1.92    0.00    
8790.00    -0.28   -0.25   1.92    0.00    
8800.00    -0.24   -0.25   1.93    0.00    
8810.00    -0.24   -0.24   1.93    0.00    
8820.00    -0.24   -0.23   1.93    0.00    
8830.00    -0.24   -0.23   1.93    0.00    
8840.00    -0.24   -0.22   1.93    0.00    
8850.00    -0.24   -0.21   1.93    0.00    
8860.00    -0.20   -0.21   1.94    0.00    
8870.00    -0.20   -0.20   1.94    0.00    
8880.00    -0.20   -0.19   1.94    0.00    
8890.00    -0.20   -0.19   1.94    0.00    
8900.00    -0.20   -0.18   1.94    0.00    
8910.00    -0.20   -0.17   1.94    0.00    
8920.00    -0.20   -0.16   1.94    0.00    
8930.00    -0.16   -0.16   1.95    0.00    
8940.00    -0.16   -0.15   1.95    0.00    
8950.00    -0.16   -0.14   1.95    0.00    
8960.00    -0.16   -0.14   1.95    0.00    
8970.00    -0.16   -0.13   1.95    0.00    
8980.00    -0.16   -0.12   1.95    0.00    
8990.00    -0.12   -0.12   1.96    0.00    
9000.00    -0.12   -0.11   1.96    0.00    
9010.00    -0.12   -0.10   1.96    0.00    
9020.00    -0.12   -0.09   1.96    0.00    
9030.00    -0.12   -0.09   1.96    0.00    
9040.00    -0.12   -0.08   1.96    0.00    
9050.00    -0.08   -0.07   1.98    0.00    
9060.00    -0.08   -0.07   1.98    0.00    
9070.00    -0.08   -0.06   1.98    0.00    
9080.00    -0.08   -0.05   1.98    0.00    
9090.00    -0.08   -0.04   1.98    0.00    
9100.00    -0.08   -0.04   1.98    0.00    
9110.00    -0.04   -0.03   1.99    0.00    
9120.00    -0.04   -0.02   1.99    0.00    
9130.00    -0.04   -0.02   1.99    0.00    
9140.00    -0.04   -0.01   1.99    0.00    
9150.00    -0.04   -0.00   1.99    0.00    
9160.00    -0.04   0.00    1.99    0.00    
9170.00    0.00    0.01    2.00    0.00    
9180.00    0.00    0.02    2.00    0.00    
9190.00    0.00    0.02    2.00    0.00    
9200.00    0.00    0.03    2.00    0.00    
9210.00    0.00    0.04    2.00    0.00    
9220.00    0.00    0.04    2.00    0.00    
9230.00    0.04    0.05    2.01    0.00    
9240.00    0.04    0.06    2.01    0.00    
9250.00    0.04    0.06    2.01    0.00    
9260.00    0.04    0.07    2.01    0.00    
9270.00    0.04    0.08    2.01    0.00    
9280.00    0.04    0.08    2.01    0.00    
9290.00    0.04    0.09    2.01    0.00    
9300.00    0.08    0.09    2.02    0.00    
9310.00    0.08    0.10    2.02    0.00    
9320.00    0.08    0.11    2.02    0.00    
9330.00    0.08    0.11    2.02    0.00    
9340.00    0.08    0.12    2.02    0.00    
9350.00    0.08    0.12    2.02    0.00    
9360.00    0.08    0.13    2.02    0.00    
9370.00    0.12    0.13    2.04    0.00    
9380.00    0.12    0.14    2.04    0.00    
9390.00    0.12    0.15    2.04    0.00    
9400.00    0.12    0.15    2.04    0.00    
9410.00    0.12    0.16    2.04    0.00    
9420.00    0.12    0.16    2.04    0.00    
9430.00    0.12    0.17    2.04    0.00    
9440.00    0.16    0.17    2.05    0.00    
9450.00    0.16    0.18    2.05    0.00    
9460.00    0.16    0.18    2.05    0.00    
9470.00    0.16    0.19    2.05    0.00    
9480.00    0.16    0.19    2.05    0.00    
9490.00    0.16    0.19    2.05    0.00    
9500.00    0.16    0.20    2.05    0.00    
9510.00    0.16    0.20    2.05    0.00    
9520.00    0.20    0.21    2.06    0.00    
9530.00    0.20    0.21    2.06    0.00    
9540.00    0.20    0.22    2.06    0.00    
9550.00    0.20    0.22    2.06    0.00    
9560.00    0.20    0.22    2.06    0.00    
9570.00    0.20    0.23    2.06    0.00    
9580.00    0.20    0.23    2.06    0.00    
9590.00    0.20    0.23    2.06    0.00    
9600.00    0.20    0.24    2.06    0.00    
9610.00    0.20    0.24    2.06    0.00    
9620.00    0.24    0.24    2.07    0.00    
9630.00    0.24    0.25    2.07    0.00    
9640.00    0.24    0.25    2.07    0.00    
9650.00    0.24    0.25    2.07    0.00    
9660.00    0.24    0.26    2.07    0.00    
9670.00    0.24    0.26    2.07    0.00    
9680.00    0.24    0.26    2.07    0.00    
9690.00    0.24    0.26    2.07    0.00    
9700.00    0.24    0.27    2.07    0.00    
9710.00    0.24    0.27    2.07    0.00    
9720.00    0.24    0.27    2.07    0.00    
9730.00    0.24    0.27    2.07    0.00    
9740.00    0.24    0.27    2.07    0.00    
9750.00    0.24    0.28    2.07    0.00    
9760.00    0.28    0.28    2.08    0.00    
9770.00    0.28    0.28    2.08    0.00    
9780.00    0.28    0.28    2.08    0.00    
9790.00    0.28    0.28    2.08    0.00    
9800.00    0.28    0.28    2.08    0.00    
9810.00    0.28    0.28    2.08    0.00    
9820.00    0.28    0.28    2.08    0.00    
9830.00    0.28    0.29    2.08    0.00    
9840.00    0.28    0.29    2.08    0.00    
9850.00    0.28    0.29    2.08    0.00    
9860.00    0.28    0.29    2.08    0.00    
9870.00    0.28    0.29    2.08    0.00    
9880.00    0.28    0.29    2.08    0.00    
9890.00    0.28    0.29    2.08    0.00    
9900.00    0.28    0.29    2.08    0.00    
9910.00    0.28    0.29    2.08    0.00    
9920.00    0.28    0.29    2.08    0.00    
9930.00    0.28    0.29    2.08    0.00    
9940.00    0.28    0.29    2.08    0.00    
9950.00    0.28    0.29    2.08    0.00    
9960.00    0.28    0.29    2.08    0.00    
9970.00    0.28    0.29    2.08    0.00    
9980.00    0.28    0.29    2.08    0.00    
9990.00    0.28    0.29    2.08    0.00    
10000.00    0.28    0.28    2.08    0.00    
10010.00    0.28    0.28    2.08    0.00    
10020.00    0.28    0.28    2.08    0.00    
10030.00    0.28    0.28    2.08    0.00    
10040.00    0.28    0.28    2.08    0.00    
10050.00    0.28    0.28    2.08    0.00    
10060.00    0.28    0.28    2.08    0.00    
10070.00    0.28    0.28    2.08    0.00    
10080.00    0.28    0.27    2.08    0.00    
10090.00    0.28    0.27    2.08    0.00    
10100.00    0.28    0.27    2.08    0.00    
10110.00    0.28    0.27    2.08    0.00    
10120.00    0.28    0.27    2.08    0.00    
10130.00    0.28    0.26    2.08    0.00    
10140.00    0.28    0.26    2.08    0.00    
10150.00    0.28    0.26    2.08    0.00    
10160.00    0.28    0.26    2.08    0.00    
10170.00    0.28    0.25    2.08    0.00    
10180.00    0.28    0.25    2.08    0.00    
10190.00    0.28    0.25    2.08    0.00    
10200.00    0.28    0.25    2.08    0.00    
10210.00    0.28    0.24    2.08    0.00    
10220.00    0.24    0.24    2.07    0.00    
10230.00    0.24    0.24    2.07    0.00    
10240.00    0.24    0.24    2.07    0.00    
10250.00    0.24    0.23    2.07    0.00    
10260.00    0.24    0.23    2.07    0.00    
10270.00    0.24    0.23    2.07    0.00    
10280.00    0.24    0.22    2.07    0.00    
10290.00    0.24    0.22    2.07    0.00    
10300.00    0.24    0.22    2.07    0.00    
10310.00    0.24    0.21    2.07    0.00    
10320.00    0.24    0.21    2.07    0.00    
10330.00    0.24    0.21    2.07    0.00    
10340.00    0.24    0.20    2.07    0.00    
10350.00    0.24    0.20    2.07    0.00    
10360.00    0.24    0.20    2.07    0.00    
10370.00    0.20    0.19    2.06    0.00    
10380.00    0.20    0.19    2.06    0.00    
10390.00    0.20    0.18    2.06    0.00    
10400.00    0.20    0.18    2.06    0.00    
10410.00    0.20    0.18    2.06    0.00    
10420.00    0.20    0.17    2.06    0.00    
10430.00    0.20    0.17    2.06    0.00    
10440.00    0.20    0.16    2.06    0.00    
10450.00    0.20    0.16    2.06    0.00    
10460.00    0.20    0.16    2.06    0.00    
10470.00    0.20    0.15    2.06    0.00    
10480.00    0.16    0.15    2.05    0.00    
10490.00    0.16    0.14    2.05    0.00    
10500.00    0.16    0.14    2.05    0.00    
10510.00    0.16    0.13    2.05    0.00    
10520.00    0.16    0.13    2.05    0.00    
10530.00    0.16    0.13    2.05    0.00    
10540.00    0.16    0.12    2.05    0.00    
10550.00    0.16    0.12    2.05    0.00    
10560.00    0.16    0.11    2.05    0.00    
10570.00    0.16    0.11    2.05    0.00    
10580.00    0.16    0.10    2.05    0.00    
10590.00    0.12    0.10    2.04    0.00    
10600.00    0.12    0.10    2.04    0.00    
10610.00    0.12    0.09    2.04    0.00    
10620.00    0.12    0.09    2.04    0.00    
10630.00    0.12    0.08    2.04    0.00    
10640.00    0.12    0.08    2.04    0.00    
10650.00    0.12    0.07    2.04    0.00    
10660.00    0.12    0.07    2.04    0.00    
10670.00    0.12    0.06    2.04    0.00    
10680.00    0.08    0.06    2.02    0.00    
10690.00    0.08    0.05    2.02    0.00    
10700.00    0.08    0.05    2.02    0.00    
10710.00    0.08    0.05    2.02    0.00    
10720.00    0.08    0.04    2.02    0.00    
10730.00    0.08    0.04    2.02    0.00    
10740.00    0.08    0.03    2.02    0.00    
10750.00    0.08    0.03    2.02    0.00    
10760.00    0.08    0.02    2.02    0.00    
10770.00    0.08    0.02    2.02    0.00    
10780.00    0.04    0.02    2.01    0.00    
10790.00    0.04    0.01    2.01    0.00    
10800.00    0.04    0.01    2.01    0.00    
10810.00    0.04    0.00    2.01    0.00    
10820.00    0.04    -0.00   2.01    0.00    
10830.00    0.04    -0.01   2.01    0.00    
10840.00    0.04    -0.01   2.01    0.00    
10850.00    0.04    -0.01   2.01    0.00    
10860.00    0.04    -0.02   2.01    0.00    
10870.00    0.04    -0.02   2.01    0.00    
10880.00    0.00    -0.03   2.00    0.00    
10890.00    0.00    -0.03   2.00    0.00    
10900.00    0.00    -0.04   2.00    0.00    
10910.00    0.00    -0.04   2.00    0.00    
10920.00    0.00    -0.04   2.00    0.00    
10930.00    0.00    -0.05   2.00    0.00    
10940.00    0.00    -0.05   2.00    0.00    
10950.00    0.00    -0.06   2.00    0.00    
10960.00    0.00    -0.06   2.00    0.00    
10970.00    0.00    -0.06   2.00    0.00    
10980.00    -0.04   -0.07   1.99    0.00    
10990.00    -0.04   -0.07   1.99    0.00    
11000.00    -0.04   -0.07   1.99    0.00    
11010.00    -0.04   -0.08   1.99    0.00    
11020.00    -0.04   -0.08   1.99    0.00    
11030.00    -0.04   -0.08   1.99    0.00    
11040.00    -0.04   -0.09   1.99    0.00    
11050.00    -0.04   -0.09   1.99    0.00    
11060.00    -0.04   -0.09   1.99    0.00    
11070.00    -0.04   -0.10   1.99    0.00    
11080.00    -0.04   -0.10   1.99    0.00    
11090.00    -0.04   -0.10   1.99    0.00    
11100.00    -0.08   -0.11   1.98    0.00    
11110.00    -0.08   -0.11   1.98    0.00    
11120.00    -0.08   -0.11   1.98    0.00    
11130.00    -0.08   -0.12   1.98    0.00    
11140.00    -0.08   -0.12   1.98    0.00    
11150.00    -0.08   -0.12   1.98    0.00    
11160.00    -0.08   -0.12   1.98    0.00    
11170.00    -0.08   -0.13   1.98    0.00    
11180.00    -0.08   -0.13   1.98    0.00    
11190.00    -0.08   -0.13   1.98    0.00    
11200.00    -0.08   -0.14   1.98    0.00    
11210.00    -0.08   -0.14   1.98    0.00    
11220.00    -0.08   -0.14   1.98    0.00    
11230.00    -0.08   -0.14   1.98    0.00    
11240.00    -0.12   -0.14   1.96    0.00    
11250.00    -0.12   -0.15   1.96    0.00    
11260.00    -0.12   -0.15   1.96    0.00    
11270.00    -0.12   -0.15   1.96    0.00    
11280.00    -0.12   -0.15   1.96    0.00    
11290.00    -0.12   -0.16   1.96    0.00    
11300.00    -0.12   -0.16   1.96    0.00    
11310.00    -0.12   -0.16   1.96    0.00    
11320.00    -0.12   -0.16   1.96    0.00    
11330.00    -0.12   -0.16   1.96    0.00    
11340.00    -0.12   -0.16   1.96    0.00    
11350.00    -0.12   -0.17   1.96    0.00    
11360.00    -0.12   -0.17   1.96    0.00    
11370.00    -0.12   -0.17   1.96    0.00    
11380.00    -0.12   -0.17   1.96    0.00    
11390.00    -0.12   -0.17   1.96    0.00    
11400.00    -0.12   -0.17   1.96    0.00    
11410.00    -0.12   -0.17   1.96    0.00    
11420.00    -0.12   -0.17   1.96    0.00    
11430.00    -0.12   -0.18   1.96    0.00    
11440.00    -0.12   -0.18   1.96    0.00    
11450.00    -0.16   -0.18   1.95    0.00    
11460.00    -0.16   -0.18   1.95    0.00    
11470.00    -0.16   -0.18   1.95    0.00    
11480.00    -0.16   -0.18   1.95    0.00    
11490.00    -0.16   -0.18   1.95    0.00    
11500.00    -0.16   -0.18   1.95    0.00    
11510.00    -0.16   -0.18   1.95    0.00    
11520.00    -0.16   -0.18   1.95    0.00    
11530.00    -0.16   -0.18   1.95    0.00    
11540.00    -0.16   -0.18   1.95    0.00    
11550.00    -0.16   -0.18   1.95    0.00    
11560.00    -0.16   -0.18   1.95    0.00    
11570.00    -0.16   -0.18   1.95    0.00    
11580.00    -0.16   -0.18   1.95    0.00    
11590.00    -0.16   -0.18   1.95    0.00    
11600.00    -0.16   -0.18   1.95    0.00    
11610.00    -0.16   -0.18   1.95    0.00    
11620.00    -0.16   -0.18   1.95    0.00    
11630.00    -0.16   -0.18   1.95    0.00    
11640.00    -0.16   -0.18   1.95    0.00    
11650.00    -0.16   -0.18   1.95    0.00    
11660.00    -0.16   -0.18   1.95    0.00    
11670.00    -0.16   -0.18   1.95    0.00    
11680.00    -0.16   -0.18   1.95    0.00    
11690.00    -0.16   -0.18   1.95    0.00    
11700.00    -0.16   -0.18   1.95    0.00    
11710.00    -0.16   -0.17   1.95    0.00    
11720.00    -0.16   -0.17   1.95    0.00    
11730.00    -0.16   -0.17   1.95    0.00    
11740.00    -0.16   -0.17   1.95    0.00    
11750.00    -0.16   -0.17   1.95    0.00    
11760.00    -0.16   -0.17   1.95    0.00    
11770.00    -0.16   -0.17   1.95    0.00    
11780.00    -0.16   -0.17   1.95    0.00    
11790.00    -0.16   -0.17   1.95    0.00    
11800.00    -0.16   -0.16   1.95    0.00    
11810.00    -0.16   -0.16   1.95    0.00    
11820.00    -0.16   -0.16   1.95    0.00    
11830.00    -0.16   -0.16   1.95    0.00    
11840.00    -0.12   -0.16   1.96    0.00    
11850.00    -0.12   -0.16   1.96    0.00    
11860.00    -0.12   -0.16   1.96    0.00    
11870.00    -0.12   -0.15   1.96    0.00    
11880.00    -0.12   -0.15   1.96    0.00    
11890.00    -0.12   -0.15   1.96    0.00    
11900.00    -0.12   -0.15   1.96    0.00    
11910.00    -0.12   -0.15   1.96    0.00    
11920.00    -0.12   -0.14   1.96    0.00    
11930.00    -0.12   -0.14   1.96    0.00    
11940.00    -0.12   -0.14   1.96    0.00    
11950.00    -0.12   -0.14   1.96    0.00    
11960.00    -0.12   -0.14   1.96    0.00    
11970.00    -0.12   -0.13   1.96    0.00    
11980.00    -0.12   -0.13   1.96    0.00    
