Distance_(pixels),Gray_Value
0.0000E0,4.3333E0
1.0000E0,6.4705E0
2.0000E0,5.9761E0
3.0000E0,5.9841E0
4.0000E0,4.5537E0
5.0000E0,2.7141E0
6.0000E0,1.7780E0
7.0000E0,3.5364E0
8.0000E0,4.2917E0
9.0000E0,3.7335E0
1.0000E1,7.7220E-1
1.1000E1,5.1821E-1
1.2000E1,4.8090E-1
1.3000E1,6.4090E-1
1.4000E1,5.8062E-1
1.5000E1,4.2590E-1
1.6000E1,6.9865E-1
1.7000E1,9.2532E-1
1.8000E1,3.4142E0
1.9000E1,5.0616E0
2.0000E1,6.7813E0
2.1000E1,7.4404E0
2.2000E1,8.1862E0
2.3000E1,5.4928E0
2.4000E1,5.3915E0
2.5000E1,4.0123E0
2.6000E1,3.5140E0
2.7000E1,3.3559E0
2.8000E1,3.7337E0
2.9000E1,5.2656E0
3.0000E1,8.8061E0
3.1000E1,8.7750E0
3.2000E1,4.7137E0
3.3000E1,2.9240E0
3.4000E1,3.1767E0
3.5000E1,4.3814E0
3.6000E1,4.0818E0
3.7000E1,5.6615E0
3.8000E1,4.8833E0
3.9000E1,3.4960E0
4.0000E1,2.1597E0
4.1000E1,2.4531E0
4.2000E1,2.6555E0
4.3000E1,3.8219E0
4.4000E1,3.2203E0
4.5000E1,3.4373E0
4.6000E1,3.6672E0
4.7000E1,3.8686E0
4.8000E1,3.5557E0
4.9000E1,2.8195E0
5.0000E1,4.4128E0
5.1000E1,4.6508E0
5.2000E1,1.4777E0
5.3000E1,3.3524E0
5.4000E1,4.3026E0
5.5000E1,4.5993E0
5.6000E1,6.0642E0
5.7000E1,4.7622E0
5.8000E1,3.6675E0
5.9000E1,4.9849E0
6.0000E1,6.1514E0
6.1000E1,6.0099E0
6.2000E1,6.1037E0
6.3000E1,5.1235E0
6.4000E1,4.9920E0
6.5000E1,5.2480E0
6.6000E1,4.8693E0
6.7000E1,3.9669E0
6.8000E1,3.3509E0
6.9000E1,4.1451E0
7.0000E1,4.8162E0
7.1000E1,7.6739E0
7.2000E1,9.1670E0
7.3000E1,8.1381E0
7.4000E1,7.6116E0
7.5000E1,5.9835E0
7.6000E1,6.1493E0
7.7000E1,5.4320E0
7.8000E1,5.7409E0
7.9000E1,5.4116E0
8.0000E1,5.8197E0
8.1000E1,6.4014E0
8.2000E1,5.7012E0
8.3000E1,5.7775E0
8.4000E1,5.8395E0
8.5000E1,5.3470E0
8.6000E1,5.7449E0
8.7000E1,5.9739E0
8.8000E1,6.1249E0
8.9000E1,5.6737E0
9.0000E1,5.7881E0
9.1000E1,5.7771E0
9.2000E1,7.2057E0
9.3000E1,5.7290E0
9.4000E1,6.0880E0
9.5000E1,7.1725E0
9.6000E1,6.2638E0
9.7000E1,6.4520E0
9.8000E1,5.5047E0
9.9000E1,5.6673E0
1.0000E2,6.1739E0
1.0100E2,5.3972E0
1.0200E2,5.4567E0
1.0300E2,4.3612E0
1.0400E2,3.4040E0
1.0500E2,3.1649E0
1.0600E2,3.3041E0
1.0700E2,3.5631E0
1.0800E2,6.1107E0
1.0900E2,6.0763E0
1.1000E2,5.7760E0
1.1100E2,4.3355E0
1.1200E2,5.3013E0
1.1300E2,6.1710E0
1.1400E2,6.1220E0
1.1500E2,6.6900E0
1.1600E2,5.5195E0
1.1700E2,6.5033E0
1.1800E2,6.0683E0
1.1900E2,7.2808E0
1.2000E2,7.2545E0
