lente,immagine
224.0, 525.0
297.0, 546.0
248.0, 527.0
285.0, 540.5
306.0, 551.0
258.0, 529.5
250.5, 527.0
288.0, 541.5
297.0, 546.0
272.0, 534.5
219.5, 526.0
231.5, 525.0
255.0, 529.0
230.5, 524.5
232.5, 524.5
