lente,immagine
284.0, 527.0
330.0, 555.5
292.5, 534.5
269.5, 519.5
270.0, 519.0
292.5, 534.0
332.0, 557.0
300.5, 537.0
239.5, 508.0
316.5, 546.0
304.0, 539.0
283.0, 527.0
309.0, 542.0
267.0, 518.0
297.0, 535.0
