Test residui A_____________________________________________
   x       y       y*      res     s_res   
1  1000.00 1.04    0.91    0.13    0.13    
2  2000.00 1.12    1.17    -0.05   0.14    
3  3000.00 1.29    1.43    -0.14   0.16    
4  4000.00 1.55    1.69    -0.14   0.20    
5  5000.00 1.88    1.94    -0.07   0.24    
6  6000.00 2.26    2.20    0.06    0.30    
7  7000.00 2.64    2.46    0.18    0.36    
8  8000.00 3.17    2.72    0.45    0.44    

Somma residui = 1.22
